n_scaffolds	n_contigs	scaf_bp	contig_bp	gap_pct	scaf_N50	scaf_L50	ctg_N50	ctg_L50	scaf_N90	scaf_L90	ctg_N90	ctg_L90	scaf_max	ctg_max	scaf_n_gt50K	scaf_pct_gt50K	gc_avg	gc_std	filename
2358	2358	6816446	6816446	0.000	871	2718	871	2718	2025	2105	2025	2105	78789	78789	1	1.156	0.64604	0.06251	/share/emersonlab/christian/bch/assemblies/megahit/2k_contigs/B0H_BULK_S142_L006.2k.renamed.contigs.fa
25	25	62325	62325	0.000	11	2511	11	2511	22	2068	22	2068	3927	3927	0	0.000	0.60696	0.07154	/share/emersonlab/christian/bch/assemblies/megahit/2k_contigs/B0H_BULK_S59_L006.2k.renamed.contigs.fa
11594	11594	56607126	56607126	0.000	2199	5583	2199	5583	8972	2331	8972	2331	144803	144803	32	3.717	0.60926	0.08007	/share/emersonlab/christian/bch/assemblies/megahit/2k_contigs/B0H_VFD_S134_L006.2k.renamed.contigs.fa
12931	12931	60554919	60554919	0.000	2566	5117	2566	5117	10111	2297	10111	2297	100436	100436	34	3.594	0.59336	0.09181	/share/emersonlab/christian/bch/assemblies/megahit/2k_contigs/B0H_VFD_S52_L006.2k.renamed.contigs.fa
1614	1614	4093401	4093401	0.000	672	2412	672	2412	1414	2060	1414	2060	39760	39760	0	0.000	0.65573	0.08299	/share/emersonlab/christian/bch/assemblies/megahit/2k_contigs/B0L_BULK_S141_L006.2k.renamed.contigs.fa
46	46	132007	132007	0.000	16	2407	16	2407	40	2036	40	2036	11714	11714	0	0.000	0.62545	0.09761	/share/emersonlab/christian/bch/assemblies/megahit/2k_contigs/B0L_BULK_S58_L006.2k.renamed.contigs.fa
5856	5856	27949910	27949910	0.000	1129	5390	1129	5390	4552	2306	4552	2306	65980	65980	14	2.905	0.60508	0.08099	/share/emersonlab/christian/bch/assemblies/megahit/2k_contigs/B0L_VFD_S133_L006.2k.renamed.contigs.fa
10813	10813	50936030	50936030	0.000	2129	5212	2129	5212	8442	2308	8442	2308	111542	111542	41	4.891	0.59691	0.08902	/share/emersonlab/christian/bch/assemblies/megahit/2k_contigs/B0L_VFD_S51_L006.2k.renamed.contigs.fa
3323	3323	9153005	9153005	0.000	1299	2634	1299	2634	2876	2087	2876	2087	13133	13133	0	0.000	0.69591	0.03802	/share/emersonlab/christian/bch/assemblies/megahit/2k_contigs/B2R2H_BULK_S144_L006.2k.renamed.contigs.fa
187	187	443309	443309	0.000	83	2281	83	2281	166	2031	166	2031	4496	4496	0	0.000	0.52115	0.07827	/share/emersonlab/christian/bch/assemblies/megahit/2k_contigs/B2R2H_BULK_S61_L006.2k.renamed.contigs.fa
1862	1862	8668177	8668177	0.000	356	5022	356	5022	1458	2282	1458	2282	73558	73558	3	2.154	0.61054	0.08310	/share/emersonlab/christian/bch/assemblies/megahit/2k_contigs/B2R2H_VFD_S136_L006.2k.renamed.contigs.fa
15063	15063	70659488	70659488	0.000	2994	5192	2994	5192	11762	2294	11762	2294	111521	111521	54	4.786	0.59853	0.08701	/share/emersonlab/christian/bch/assemblies/megahit/2k_contigs/B2R2H_VFD_S54_L006.2k.renamed.contigs.fa
516	516	1482758	1482758	0.000	177	2482	177	2482	443	2065	443	2065	46670	46670	0	0.000	0.65669	0.04826	/share/emersonlab/christian/bch/assemblies/megahit/2k_contigs/B2R2L_BULK_S143_L006.2k.renamed.contigs.fa
91	91	252776	252776	0.000	33	2369	33	2369	80	2056	80	2056	27183	27183	0	0.000	0.54202	0.09900	/share/emersonlab/christian/bch/assemblies/megahit/2k_contigs/B2R2L_BULK_S60_L006.2k.renamed.contigs.fa
9290	9290	44750696	44750696	0.000	1801	5399	1801	5399	7221	2333	7221	2333	92791	92791	28	3.787	0.60926	0.07881	/share/emersonlab/christian/bch/assemblies/megahit/2k_contigs/B2R2L_VFD_S135_L006.2k.renamed.contigs.fa
15172	15172	70415148	70415148	0.000	3078	5035	3078	5035	11887	2300	11887	2300	259025	259025	46	4.522	0.58130	0.09643	/share/emersonlab/christian/bch/assemblies/megahit/2k_contigs/B2R2L_VFD_S53_L006.2k.renamed.contigs.fa
5666	5666	16258095	16258095	0.000	2120	2740	2120	2740	4876	2097	4876	2097	21151	21151	0	0.000	0.66053	0.05620	/share/emersonlab/christian/bch/assemblies/megahit/2k_contigs/B3R2H_BULK_S146_L006.2k.renamed.contigs.fa
176	176	424448	424448	0.000	76	2296	76	2296	155	2041	155	2041	6175	6175	0	0.000	0.58307	0.06035	/share/emersonlab/christian/bch/assemblies/megahit/2k_contigs/B3R2H_BULK_S65_L006.2k.renamed.contigs.fa
13199	13199	64237269	64237269	0.000	2574	5544	2574	5544	10222	2331	10222	2331	96711	96711	40	3.856	0.61183	0.07759	/share/emersonlab/christian/bch/assemblies/megahit/2k_contigs/B3R2H_VFD_S138_L006.2k.renamed.contigs.fa
14533	14533	64914367	64914367	0.000	3113	4751	3113	4751	11489	2272	11489	2272	246933	246933	33	3.379	0.58106	0.09347	/share/emersonlab/christian/bch/assemblies/megahit/2k_contigs/B3R2H_VFD_S55_L006.2k.renamed.contigs.fa
867	867	2314982	2314982	0.000	340	2475	340	2475	753	2056	753	2056	40298	40298	0	0.000	0.63342	0.09527	/share/emersonlab/christian/bch/assemblies/megahit/2k_contigs/B3R2L_BULK_S145_L006.2k.renamed.contigs.fa
63	63	190590	190590	0.000	20	2477	20	2477	54	2090	54	2090	15513	15513	0	0.000	0.51921	0.09482	/share/emersonlab/christian/bch/assemblies/megahit/2k_contigs/B3R2L_BULK_S62_L006.2k.renamed.contigs.fa
