Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)	Term	Extraction	Set	Formula
3	0.238260760896487	0.0794202536321622	1.80747997319449	0.198596608974597	0.108	Biochar	VIR	vOTU	dist ~ Biochar + Month
1	0.566003513771785	0.566003513771785	12.8813491409692	0.471778811080094	0.001	Month	VIR	vOTU	dist ~ Biochar + Month
9	0.395457926665807	0.0439397696295341	NA	0.329624579945309	NA	Residuals	VIR	vOTU	dist ~ Biochar + Month
13	1.19972220133408	NA	NA	1	NA	Total	VIR	vOTU	dist ~ Biochar + Month
3	0.238260760896487	0.0794202536321622	0.904365855472707	0.198596608974597	0.509	Biochar	VIR	vOTU	dist ~ Biochar + Column
1	0.171092942595701	0.171092942595701	1.94825133790865	0.142610466327494	0.111	Column	VIR	vOTU	dist ~ Biochar + Column
9	0.790368497841891	0.0878187219824323	NA	0.658792924697909	NA	Residuals	VIR	vOTU	dist ~ Biochar + Column
13	1.19972220133408	NA	NA	1	NA	Total	VIR	vOTU	dist ~ Biochar + Column
3	0.238260760896487	0.0794202536321622	2.8318234758895	0.198596608974597	0.009	Biochar	VIR	vOTU	dist ~ Biochar + Month + Column
1	0.566003513771785	0.566003513771785	20.1815275629616	0.471778811080094	0.001	Month	VIR	vOTU	dist ~ Biochar + Month + Column
1	0.171092942595701	0.171092942595701	6.10052208653882	0.142610466327495	0.006	Column	VIR	vOTU	dist ~ Biochar + Month + Column
8	0.224364984070105	0.0280456230087632	NA	0.187014113617814	NA	Residuals	VIR	vOTU	dist ~ Biochar + Month + Column
13	1.19972220133408	NA	NA	1	NA	Total	VIR	vOTU	dist ~ Biochar + Month + Column
1	0.0360018794129644	0.0360018794129644	1.0323106025903	0.127114165868123	0.437	Nitrogen	VIR	vOTU	dist ~ Nitrogen + Column
1	0.107722700199297	0.107722700199297	3.08881889969738	0.380343509954776	0.006	Column	VIR	vOTU	dist ~ Nitrogen + Column
4	0.139500182687759	0.0348750456719398	NA	0.492542324177101	NA	Residuals	VIR	vOTU	dist ~ Nitrogen + Column
6	0.283224762300021	NA	NA	1	NA	Total	VIR	vOTU	dist ~ Nitrogen + Column
3	0.0611773785259474	0.0203924595086491	1.10566893896618	0.166878325396138	0.288	Biochar	TMG	16SOTU	dist ~ Biochar + Month
1	0.10254228819144	0.10254228819144	5.55979149722998	0.279712628229369	0.001	Month	TMG	16SOTU	dist ~ Biochar + Month
11	0.202879041537407	0.0184435492306733	NA	0.553409046374493	NA	Residuals	TMG	16SOTU	dist ~ Biochar + Month
15	0.366598708254794	NA	NA	1	NA	Total	TMG	16SOTU	dist ~ Biochar + Month
3	0.0611773785259474	0.0203924595086491	0.778452491987897	0.166878325396138	0.838	Biochar	TMG	16SOTU	dist ~ Biochar + Column
1	0.0172636619149608	0.0172636619149608	0.659015192985322	0.0470914422943415	0.903	Column	TMG	16SOTU	dist ~ Biochar + Column
11	0.288157667813886	0.0261961516194442	NA	0.786030232309521	NA	Residuals	TMG	16SOTU	dist ~ Biochar + Column
15	0.366598708254794	NA	NA	1	NA	Total	TMG	16SOTU	dist ~ Biochar + Column
3	0.0611773785259474	0.0203924595086491	1.09864061642568	0.166878325396138	0.299	Biochar	TMG	16SOTU	dist ~ Biochar + Month + Column
1	0.10254228819144	0.10254228819144	5.52444998900512	0.279712628229369	0.001	Month	TMG	16SOTU	dist ~ Biochar + Month + Column
1	0.0172636619149608	0.0172636619149608	0.930077127772288	0.0470914422943414	0.439	Column	TMG	16SOTU	dist ~ Biochar + Month + Column
10	0.185615379622446	0.0185615379622446	NA	0.506317604080152	NA	Residuals	TMG	16SOTU	dist ~ Biochar + Month + Column
15	0.366598708254794	NA	NA	1	NA	Total	TMG	16SOTU	dist ~ Biochar + Month + Column
1	0.0162278310693732	0.0162278310693732	0.88005153233757	0.129140910473639	0.686	Nitrogen	TMG	16SOTU	dist ~ Nitrogen + Column
1	0.0172338604984118	0.0172338604984118	0.934609515891706	0.137146882181991	0.565	Column	TMG	16SOTU	dist ~ Nitrogen + Column
5	0.0921981865440834	0.0184396373088167	NA	0.73371220734437	NA	Residuals	TMG	16SOTU	dist ~ Nitrogen + Column
7	0.125659878111868	NA	NA	1	NA	Total	TMG	16SOTU	dist ~ Nitrogen + Column
