Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)	Term	Extraction	Set	Formula
1	0.600289906524733	0.600289906524733	12.0171684786985	0.500357420957299	0.001	Month	VIR	vOTU	dist ~ Month
12	0.599432294809345	0.0499526912341121	NA	0.499642579042701	NA	Residuals	VIR	vOTU	dist ~ Month
13	1.19972220133408	NA	NA	1	NA	Total	VIR	vOTU	dist ~ Month
3	0.238260760896487	0.0794202536321622	0.826036804929124	0.198596608974597	0.567	Biochar	VIR	vOTU	dist ~ Biochar
10	0.961461440437592	0.0961461440437592	NA	0.801403391025403	NA	Residuals	VIR	vOTU	dist ~ Biochar
13	1.19972220133408	NA	NA	1	NA	Total	VIR	vOTU	dist ~ Biochar
1	0.213738555457215	0.213738555457215	2.6013237402184	0.17815670596038	0.046	Column	VIR	vOTU	dist ~ Column
12	0.985983645876863	0.082165303823072	NA	0.82184329403962	NA	Residuals	VIR	vOTU	dist ~ Column
13	1.19972220133408	NA	NA	1	NA	Total	VIR	vOTU	dist ~ Column
1	0.128898303731226	0.128898303731226	1.44447620961517	0.107440125378935	0.201	Row	VIR	vOTU	dist ~ Row
12	1.07082389760285	0.0892353248002377	NA	0.892559874621065	NA	Residuals	VIR	vOTU	dist ~ Row
13	1.19972220133408	NA	NA	1	NA	Total	VIR	vOTU	dist ~ Row
1	0.0360018794129644	0.0360018794129644	0.728125952430785	0.127114165868123	0.756	Nitrogen	VIR	vOTU	dist ~ Nitrogen
5	0.247222882887056	0.0494445765774112	NA	0.872885834131877	NA	Residuals	VIR	vOTU	dist ~ Nitrogen
6	0.283224762300021	NA	NA	1	NA	Total	VIR	vOTU	dist ~ Nitrogen
1	0.10254228819144	0.10254228819144	5.43668672905482	0.279712628229369	0.001	Month	TMG	16SOTU	dist ~ Month
14	0.264056420063354	0.0188611728616682	NA	0.720287371770631	NA	Residuals	TMG	16SOTU	dist ~ Month
15	0.366598708254794	NA	NA	1	NA	Total	TMG	16SOTU	dist ~ Month
3	0.0611773785259474	0.0203924595086491	0.801219464013998	0.166878325396138	0.795	Biochar	TMG	16SOTU	dist ~ Biochar
12	0.305421329728847	0.0254517774774039	NA	0.833121674603862	NA	Residuals	TMG	16SOTU	dist ~ Biochar
15	0.366598708254794	NA	NA	1	NA	Total	TMG	16SOTU	dist ~ Biochar
1	0.0174852567114079	0.0174852567114079	0.701186370440636	0.0476959037707662	0.849	Column	TMG	16SOTU	dist ~ Column
14	0.349113451543387	0.0249366751102419	NA	0.952304096229234	NA	Residuals	TMG	16SOTU	dist ~ Column
15	0.366598708254794	NA	NA	1	NA	Total	TMG	16SOTU	dist ~ Column
1	0.0150024842278455	0.0150024842278455	0.597374956944184	0.040923450874296	0.979	Row	TMG	16SOTU	dist ~ Row
14	0.351596224026949	0.0251140160019249	NA	0.959076549125704	NA	Residuals	TMG	16SOTU	dist ~ Row
15	0.366598708254794	NA	NA	1	NA	Total	TMG	16SOTU	dist ~ Row
1	0.0162278310693732	0.0162278310693732	0.889748378538773	0.129140910473639	0.622	Nitrogen	TMG	16SOTU	dist ~ Nitrogen
6	0.109432047042495	0.0182386745070825	NA	0.870859089526361	NA	Residuals	TMG	16SOTU	dist ~ Nitrogen
7	0.125659878111868	NA	NA	1	NA	Total	TMG	16SOTU	dist ~ Nitrogen
