OTU_ID	baseMean	estimate	stderror	statistic	p.value	p.adjusted	TemporalEnrichment	Rootrank	Domain	Phylum	Class	Order	Family	Genus	Classification	PhyClass
OTU_007	47.386124400439	-0.573419200132038	0.214745711390178	-2.67022422203429	0.00758006100214862	0.0333788651147246	Aug	Root	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Microvirga	Classified	Alphaproteobacteria
OTU_041	97.0891861020479	-0.450156489101348	0.129437192986495	-3.47779860421044	0.000505549610767262	0.00350900235560427	Aug	Root	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	unclass_Rhizobiales	unclass_Rhizobiales	Classified	Alphaproteobacteria
OTU_044	82.8616722510428	-0.769292053840175	0.164712187586544	-4.67052295954706	3.00433900078023e-06	4.43581817174022e-05	Aug	Root	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Skermanella	Classified	Alphaproteobacteria
OTU_048	70.0682805487107	-0.727468975636476	0.124411854644788	-5.84726413502553	4.99723672023086e-09	1.79186630968278e-07	Aug	Root	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	unclass_Rhodospirillaceae	Classified	Alphaproteobacteria
OTU_068	41.2672085427773	0.722935434318238	0.189974057841047	3.80544292486044	0.000141550653917167	0.00114610368171641	Apr	Root	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	unclass_Sphingomonadaceae	Classified	Alphaproteobacteria
OTU_100	23.0318698574104	1.00811904178892	0.251732222591895	4.00472784695214	6.20889213698803e-05	0.00057719700977185	Apr	Root	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	unclass_Comamonadaceae	Classified	Betaproteobacteria
OTU_104	11.5694156458113	2.40460536750399	0.428886694854474	5.60662150715563	2.06314152055601e-08	6.47310652074448e-07	Apr	Root	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Classified	Betaproteobacteria
OTU_105	14.8785384558266	2.65753590761851	0.405228413265814	6.55811838612431	5.4490943740868e-11	4.55907562631929e-09	Apr	Root	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	unclass_Oxalobacteraceae	Classified	Betaproteobacteria
OTU_119	45.4439910149697	0.606717382700124	0.190611999496184	3.18299679088289	0.00145759229748423	0.00778416312060728	Apr	Root	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	unclass_Burkholderiales	unclass_Burkholderiales	Classified	Betaproteobacteria
OTU_130	169.821458510208	0.513754649496464	0.162805399648615	3.15563642609709	0.00160148351116828	0.00837442419381748	Apr	Root	Bacteria	Proteobacteria	Betaproteobacteria	unclass_Betaproteobacteria	unclass_Betaproteobacteria	unclass_Betaproteobacteria	Classified	Betaproteobacteria
OTU_161	3.69690818120664	1.94280960003489	0.565529559411504	3.43538117097999	0.00059172090266063	0.00387955916413634	Apr	Root	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Labilitrichaceae	Labilithrix	Classified	Deltaproteobacteria
OTU_178	3.74780175309415	2.46545799647882	0.73757559160019	3.34265128151807	0.000829821092509722	0.00452793683086826	Apr	Root	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	Classified	Gammaproteobacteria
OTU_179	6.84724308107919	1.37250107456336	0.463826926218438	2.95908020207732	0.00308558785361853	0.0151859323776128	Apr	Root	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	Classified	Gammaproteobacteria
