OTU_ID	baseMean	estimate	stderror	statistic	p.value	p.adjusted	TemporalEnrichment	VC	VC.Status	ClstrComp	Order	Family	Genus	HostPhylum	HostClass	HostOrder	HostFamily	HostGenus
biochar_0	9462.5421395263	30	3.13781434140658	9.5607951063644	1.16855449644823e-21	1.74023310452541e-20	Apr		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_1000	354.543666492891	30	3.04449257565547	9.85385881374373	6.59617326377866e-23	1.3936771795898e-21	Apr		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_1008	756.34565859558	-11.1242742823754	1.53930508929	-7.22681576236876	4.94450155369914e-13	2.28886316053866e-12	Aug	379_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_101	2359.68293593447	-1.28987621775616	0.295163556869751	-4.37003887416004	1.24224419597742e-05	3.29852633007289e-05	Aug		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_1011	4384.77150369114	-9.32492324108632	1.89909316721988	-4.91019787867345	9.09845341846743e-07	2.78893525511157e-06	Aug	378_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1012	1239.93377834007	-9.70330888094552	3.07400011260212	-3.15657401610559	0.0015963436726898	0.00327688034962971	Aug	352_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1013	2009.07468975865	3.0715085269061	1.33268489718319	2.30475225869082	0.0211804522741844	0.037137983299963	Apr	353_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1014	1565.03000592273	-3.55944636821676	1.6208535863301	-2.19603201562207	0.0280896519238913	0.0479729736667843	Aug	127_0	Clustered	both	Caudovirales	Podoviridae	Unassigned	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus
biochar_102	3206.42056967102	1.90998691088805	0.848342622881526	2.25143339421104	0.0243581010461597	0.0422340345220049	Apr	177_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1023	1706.9963425961	5.29109331881115	1.28044269978981	4.13223748292657	3.59248960634438e-05	9.05160498770584e-05	Apr	298_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
