contig	Length	B0H_BULK_S142_L006.vir.sortedIndexed.bam	B0H_BULK_S59_L006.vir.sortedIndexed.bam	B0H_VFD_S134_L006.vir.sortedIndexed.bam	B0H_VFD_S52_L006.vir.sortedIndexed.bam	B0L_BULK_S141_L006.vir.sortedIndexed.bam	B0L_BULK_S58_L006.vir.sortedIndexed.bam	B0L_VFD_S133_L006.vir.sortedIndexed.bam	B0L_VFD_S51_L006.vir.sortedIndexed.bam	B2R2H_BULK_S144_L006.vir.sortedIndexed.bam	B2R2H_BULK_S61_L006.vir.sortedIndexed.bam	B2R2H_VFD_S136_L006.vir.sortedIndexed.bam	B2R2H_VFD_S54_L006.vir.sortedIndexed.bam	B2R2L_BULK_S143_L006.vir.sortedIndexed.bam	B2R2L_BULK_S60_L006.vir.sortedIndexed.bam	B2R2L_VFD_S135_L006.vir.sortedIndexed.bam	B2R2L_VFD_S53_L006.vir.sortedIndexed.bam	B3R2H_BULK_S146_L006.vir.sortedIndexed.bam	B3R2H_BULK_S65_L006.vir.sortedIndexed.bam	B3R2H_VFD_S138_L006.vir.sortedIndexed.bam	B3R2H_VFD_S55_L006.vir.sortedIndexed.bam	B3R2L_BULK_S145_L006.vir.sortedIndexed.bam	B3R2L_BULK_S62_L006.vir.sortedIndexed.bam	B3R2L_VFD_S137_L006.vir.sortedIndexed.bam	B8R2H_BULK_S148_L006.vir.sortedIndexed.bam	B8R2H_BULK_S63_L006.vir.sortedIndexed.bam	B8R2H_VFD_S140_L006.vir.sortedIndexed.bam	B8R2H_VFD_S57_L006.vir.sortedIndexed.bam	B8R2L_BULK_S147_L006.vir.sortedIndexed.bam	B8R2L_BULK_S64_L006.vir.sortedIndexed.bam	B8R2L_VFD_S139_L006.vir.sortedIndexed.bam	B8R2L_VFD_S56_L006.vir.sortedIndexed.bam
biochar_0	259025	0.0000	536.0000	0.0000	1727.0000	0.0000	100.0000	0.0000	7491.0000	0.0000	455.0000	0.0000	192.0000	0.0000	141.0000	0.0000	132656.0000	0.0000	202.0000	0.0000	92.0000	0.0000	60.0000	0.0000	0.0000	98.0000	0.0000	224.0000	0.0000	78.0000	0.0000	86.0000
biochar_1	246933	2.0000	20.0000	269.0000	2105.0000	16.0000	32.0000	427.0000	4905.0000	4.0000	18.0000	90.0000	968.0000	10.0000	40.0000	1127.0000	5433.0000	340.0000	66.0000	7452.0000	29492.0000	18.0000	14.0000	399.0000	48.0000	263.0000	1683.0000	14919.0000	0.0000	22.0000	622.0000	1998.0000
biochar_2	153522	2.0000	9.0000	620.0000	4749.0000	0.0000	10.0000	259.0000	2345.0000	10.0000	10.0000	318.0000	4356.0000	2.0000	571.0000	2543.0000	51771.0000	0.0000	37.0000	156.0000	1142.0000	2.0000	0.0000	2492.0000	44.0000	20.0000	595.0000	18751.0000	4.0000	12.0000	1022.0000	10268.0000
biochar_3	153521	0.0000	0.0000	28.0000	329.0000	0.0000	0.0000	20.0000	86.0000	0.0000	0.0000	5.0000	67.0000	0.0000	3.0000	135.0000	841.0000	0.0000	4.0000	4.0000	51.0000	3.0000	0.0000	271.0000	6.0000	0.0000	23.0000	1998.0000	0.0000	0.0000	107.0000	245.0000
biochar_4	153377	2.0000	3.0000	0.0000	758.0000	0.0000	50.0000	0.0000	1161.0000	33.0000	59.0000	72.0000	3604.0000	2.0000	864.0000	18.0000	13407.0000	87.0000	8.0000	18.0000	1812.0000	0.0000	76.0000	108.0000	0.0000	13.0000	23.0000	1429.0000	8.0000	177.0000	16.0000	958.0000
biochar_5	144803	0.0000	2.0000	29816.0000	507.0000	2.0000	0.0000	169.0000	57.0000	2.0000	4.0000	4960.0000	113.0000	0.0000	2.0000	201.0000	84.0000	0.0000	2.0000	90.0000	32.0000	2.0000	2.0000	2888.0000	0.0000	0.0000	8268.0000	148.0000	16.0000	6.0000	23809.0000	328.0000
biochar_6	127655	118.0000	54.0000	4871.0000	14911.0000	104.0000	110.0000	4359.0000	16700.0000	26.0000	59.0000	861.0000	12541.0000	50.0000	162.0000	8159.0000	24055.0000	18.0000	120.0000	6311.0000	10219.0000	82.0000	36.0000	4451.0000	30.0000	74.0000	3769.0000	12152.0000	18.0000	42.0000	5598.0000	17555.0000
biochar_7	127076	0.0000	0.0000	0.0000	8.0000	0.0000	0.0000	0.0000	2.0000	0.0000	0.0000	0.0000	16.0000	0.0000	2.0000	10.0000	76.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.0000	4.0000	0.0000	0.0000	0.0000	16.0000
biochar_8	122279	0.0000	0.0000	1.0000	9.0000	0.0000	2.0000	1.0000	3.0000	0.0000	0.0000	0.0000	3.0000	0.0000	0.0000	4.0000	5.0000	0.0000	2.0000	0.0000	12.0000	6.0000	32.0000	268.0000	0.0000	0.0000	1.0000	7.0000	6.0000	118.0000	2309.0000	18883.0000
biochar_9	117645	2.0000	0.0000	2.0000	62.0000	20.0000	0.0000	1814.0000	1268.0000	0.0000	8.0000	184.0000	918.0000	0.0000	0.0000	621.0000	570.0000	0.0000	0.0000	4.0000	33.0000	89.0000	59.0000	170.0000	2.0000	0.0000	84673.0000	47.0000	0.0000	0.0000	251.0000	16.0000
biochar_10	111542	120.0000	18.0000	3493.0000	6956.0000	28.0000	26.0000	944.0000	13415.0000	32.0000	26.0000	1251.0000	8881.0000	1267.0000	46.0000	9212.0000	9739.0000	24.0000	62.0000	3426.0000	2222.0000	2.0000	5.0000	2906.0000	535.0000	12.0000	4309.0000	5536.0000	363.0000	48.0000	4368.0000	7694.0000
biochar_11	111521	4.0000	0.0000	84.0000	159.0000	0.0000	0.0000	10.0000	156.0000	2.0000	0.0000	24.0000	263.0000	33.0000	2.0000	180.0000	211.0000	2.0000	0.0000	72.0000	66.0000	0.0000	0.0000	48.0000	12.0000	0.0000	91.0000	114.0000	0.0000	0.0000	87.0000	145.0000
biochar_12	110876	4.0000	0.0000	14.0000	500.0000	8.0000	16.0000	14.0000	1512.0000	58.0000	177.0000	68.0000	4556.0000	4.0000	20.0000	10.0000	794.0000	14.0000	44.0000	303.0000	13868.0000	0.0000	26.0000	102.0000	36.0000	26.0000	108.0000	1639.0000	4.0000	124.0000	18.0000	2551.0000
biochar_13	110278	7.0000	34.0000	1012.0000	5459.0000	2.0000	46.0000	597.0000	7578.0000	0.0000	44.0000	198.0000	12267.0000	2.0000	34.0000	1807.0000	9854.0000	4.0000	24.0000	1149.0000	6828.0000	4.0000	32.0000	1675.0000	2.0000	36.0000	652.0000	7604.0000	0.0000	110.0000	3763.0000	28391.0000
biochar_14	108050	18.0000	0.0000	13608.0000	64.0000	56.0000	0.0000	6047.0000	32.0000	2.0000	20.0000	1950.0000	50.0000	4.0000	0.0000	754.0000	4.0000	20.0000	0.0000	1135.0000	132.0000	64.0000	0.0000	4248.0000	2.0000	0.0000	398.0000	4.0000	2.0000	0.0000	1569.0000	251.0000
biochar_15	105009	20.0000	0.0000	402.0000	1835.0000	1.0000	2.0000	80.0000	1298.0000	5.0000	6.0000	68.0000	1095.0000	4.0000	6.0000	428.0000	1524.0000	6.0000	3.0000	542.0000	1683.0000	8.0000	2.0000	269.0000	8.0000	4.0000	280.0000	14185.0000	4.0000	4.0000	1814.0000	4040.0000
biochar_16	103579	22.0000	4.0000	3061.0000	230.0000	24.0000	7.0000	4926.0000	445.0000	684.0000	118.0000	3433.0000	676.0000	26.0000	8.0000	4928.0000	263.0000	21.0000	2.0000	7849.0000	350.0000	145.0000	1.0000	10672.0000	12.0000	2.0000	6136.0000	49.0000	39.0000	5.0000	8636.0000	1078.0000
