contig	Length	B0H_BULK_S142_L006.vir.sortedIndexed.bam	B0H_BULK_S59_L006.vir.sortedIndexed.bam	B0H_VFD_S134_L006.vir.sortedIndexed.bam	B0H_VFD_S52_L006.vir.sortedIndexed.bam	B0L_BULK_S141_L006.vir.sortedIndexed.bam	B0L_BULK_S58_L006.vir.sortedIndexed.bam	B0L_VFD_S133_L006.vir.sortedIndexed.bam	B0L_VFD_S51_L006.vir.sortedIndexed.bam	B2R2H_BULK_S144_L006.vir.sortedIndexed.bam	B2R2H_BULK_S61_L006.vir.sortedIndexed.bam	B2R2H_VFD_S136_L006.vir.sortedIndexed.bam	B2R2H_VFD_S54_L006.vir.sortedIndexed.bam	B2R2L_BULK_S143_L006.vir.sortedIndexed.bam	B2R2L_BULK_S60_L006.vir.sortedIndexed.bam	B2R2L_VFD_S135_L006.vir.sortedIndexed.bam	B2R2L_VFD_S53_L006.vir.sortedIndexed.bam	B3R2H_BULK_S146_L006.vir.sortedIndexed.bam	B3R2H_BULK_S65_L006.vir.sortedIndexed.bam	B3R2H_VFD_S138_L006.vir.sortedIndexed.bam	B3R2H_VFD_S55_L006.vir.sortedIndexed.bam	B3R2L_BULK_S145_L006.vir.sortedIndexed.bam	B3R2L_BULK_S62_L006.vir.sortedIndexed.bam	B3R2L_VFD_S137_L006.vir.sortedIndexed.bam	B8R2H_BULK_S148_L006.vir.sortedIndexed.bam	B8R2H_BULK_S63_L006.vir.sortedIndexed.bam	B8R2H_VFD_S140_L006.vir.sortedIndexed.bam	B8R2H_VFD_S57_L006.vir.sortedIndexed.bam	B8R2L_BULK_S147_L006.vir.sortedIndexed.bam	B8R2L_BULK_S64_L006.vir.sortedIndexed.bam	B8R2L_VFD_S139_L006.vir.sortedIndexed.bam	B8R2L_VFD_S56_L006.vir.sortedIndexed.bam
biochar_0	259025	0.0000	0.1265	0.0000	0.7315	0.0000	0.0000	0.0000	3.8364	0.0000	0.0992	0.0000	0.0000	0.0000	0.0000	0.0000	70.1644	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
biochar_1	246933	0.0000	0.0000	0.0247	1.0343	0.0000	0.0000	0.1000	2.6731	0.0000	0.0000	0.0000	0.3734	0.0000	0.0000	0.4644	3.0070	0.0597	0.0000	4.0613	16.9710	0.0000	0.0000	0.0694	0.0000	0.0269	0.7629	8.5229	0.0000	0.0000	0.1891	0.9701
biochar_2	153522	0.0000	0.0000	0.3895	4.2400	0.0000	0.0000	0.0829	1.9624	0.0000	0.0000	0.1395	3.8714	0.0000	0.3540	2.1290	47.9089	0.0000	0.0000	0.0035	0.8521	0.0000	0.0000	2.0490	0.0000	0.0000	0.3618	17.8180	0.0000	0.0000	0.7155	9.3543
biochar_3	153521	0.0000	0.0000	0.0000	0.0344	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1357	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0202	0.0000	0.0000	0.0000	0.2195	0.0000	0.0000	0.0000	0.0000
biochar_4	153377	0.0000	0.0000	0.0000	0.5452	0.0000	0.0000	0.0000	0.8896	0.0000	0.0000	0.0000	3.1763	0.0000	0.6113	0.0000	12.2344	0.0000	0.0000	0.0000	1.4532	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0940	0.0000	0.0382	0.0000	0.6926
biochar_5	144803	0.0000	0.0000	28.7502	0.3312	0.0000	0.0000	0.0253	0.0000	0.0000	0.0000	4.5795	0.0000	0.0000	0.0000	0.0549	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.5521	0.0000	0.0000	7.6853	0.0135	0.0000	0.0000	22.8880	0.1585
biochar_6	127655	0.0000	0.0000	5.1183	16.0516	0.0000	0.0000	4.4495	18.2726	0.0000	0.0000	0.7118	13.6918	0.0000	0.0350	8.5485	26.3768	0.0000	0.0000	6.5928	11.1279	0.0000	0.0000	4.5758	0.0000	0.0000	3.7274	13.2439	0.0000	0.0000	5.8399	19.2541
biochar_7	127076	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
biochar_8	122279	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1299	0.0000	0.0000	0.0000	0.0000	0.0000	0.0077	2.4553	21.5672
biochar_9	117645	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.8417	1.3445	0.0000	0.0000	0.0725	0.8709	0.0000	0.0000	0.5172	0.4776	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0646	0.0000	0.0000	99.0705	0.0000	0.0000	0.0000	0.1394	0.0000
