taxid	lineage	name	rank	B0H_BULK_S142_L006_rrna.fq	B0H_BULK_S59_L006_rrna.fq	B0H_VFD_S134_L006_rrna.fq	B0H_VFD_S52_L006_rrna.fq	B0L_BULK_S141_L006_rrna.fq	B0L_BULK_S58_L006_rrna.fq	B0L_VFD_S133_L006_rrna.fq	B0L_VFD_S51_L006_rrna.fq	B2R2H_BULK_S144_L006_rrna.fq	B2R2H_BULK_S61_L006_rrna.fq	B2R2H_VFD_S136_L006_rrna.fq	B2R2H_VFD_S54_L006_rrna.fq	B2R2L_BULK_S143_L006_rrna.fq	B2R2L_BULK_S60_L006_rrna.fq	B2R2L_VFD_S135_L006_rrna.fq	B2R2L_VFD_S53_L006_rrna.fq	B3R2H_BULK_S146_L006_rrna.fq	B3R2H_BULK_S65_L006_rrna.fq	B3R2H_VFD_S138_L006_rrna.fq	B3R2H_VFD_S55_L006_rrna.fq	B3R2L_BULK_S145_L006_rrna.fq	B3R2L_BULK_S62_L006_rrna.fq	B3R2L_VFD_S137_L006_rrna.fq	B8R2H_BULK_S148_L006_rrna.fq	B8R2H_BULK_S63_L006_rrna.fq	B8R2H_VFD_S140_L006_rrna.fq	B8R2H_VFD_S57_L006_rrna.fq	B8R2L_BULK_S147_L006_rrna.fq	B8R2L_BULK_S64_L006_rrna.fq	B8R2L_VFD_S139_L006_rrna.fq	B8R2L_VFD_S56_L006_rrna.fq
0	null	Root	rootrank	10892	6923	236	2696	13602	7502	746	2802	14682	7826	688	480	8656	7492	232	1288	11936	7004	148	962	11376	8850	138	13894	7284	1836	712	11534	8830	140	630
1	Root;rootrank;Bacteria;domain;	Bacteria	domain	10275	6560	225	2591	12747	7130	698	2678	13892	7419	622	455	8215	7142	216	1257	11240	6747	136	936	10291	8509	129	13273	6900	1604	680	11033	8320	129	614
841	Root;rootrank;Bacteria;domain;"Proteobacteria";phylum;	"Proteobacteria"	phylum	1960	1237	34	284	2212	1420	112	384	2475	1350	47	70	1298	1256	10	112	2092	1248	8	90	1767	1453	8	2223	1250	212	60	1817	1645	20	60
842	Root;rootrank;Bacteria;domain;"Proteobacteria";phylum;Alphaproteobacteria;class;	Alphaproteobacteria	class	797	520	4	62	1129	531	36	63	1383	484	23	12	696	515	2	19	1020	409	0	13	827	508	2	1236	483	55	10	864	546	0	12
870	Root;rootrank;Bacteria;domain;"Proteobacteria";phylum;Alphaproteobacteria;class;Rhizobiales;order;	Rhizobiales	order	257	158	2	10	333	143	14	9	429	156	14	5	195	156	2	6	335	77	0	2	252	129	0	398	116	14	2	254	139	0	3
908	Root;rootrank;Bacteria;domain;"Proteobacteria";phylum;Alphaproteobacteria;class;Rhizobiales;order;Hyphomicrobiaceae;family;	Hyphomicrobiaceae	family	20	5	0	0	13	13	2	0	9	7	2	0	11	6	0	0	33	4	0	0	10	4	0	16	15	0	0	15	0	0	0
918	Root;rootrank;Bacteria;domain;"Proteobacteria";phylum;Alphaproteobacteria;class;Rhizobiales;order;Hyphomicrobiaceae;family;Hyphomicrobium;genus;	Hyphomicrobium	genus	7	0	0	0	1	3	2	0	3	0	0	0	0	0	0	0	3	1	0	0	1	0	0	1	0	0	0	1	0	0	0
924	Root;rootrank;Bacteria;domain;"Proteobacteria";phylum;Alphaproteobacteria;class;Rhizobiales;order;Hyphomicrobiaceae;family;Rhodoplanes;genus;	Rhodoplanes	genus	1	2	0	0	1	4	0	0	1	1	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0	0	0	1	0	0	0
921	Root;rootrank;Bacteria;domain;"Proteobacteria";phylum;Alphaproteobacteria;class;Rhizobiales;order;Hyphomicrobiaceae;family;Pedomicrobium;genus;	Pedomicrobium	genus	2	0	0	0	5	3	0	0	1	1	0	0	5	2	0	0	11	2	0	0	2	0	0	4	2	0	0	5	0	0	0
-909	Root;rootrank;Bacteria;domain;"Proteobacteria";phylum;Alphaproteobacteria;class;Rhizobiales;order;Hyphomicrobiaceae;family;unclassified_Hyphomicrobiaceae;;	unclassified_Hyphomicrobiaceae		10	1	0	0	5	3	0	0	3	4	2	0	5	3	0	0	16	1	0	0	6	1	0	6	9	0	0	8	0	0	0
