id,size,pos,pos_genus,precision_genus,pos_family,precision_family,pos_order,precision_order
CC_0000,8,0,152.0,1.0,17.0,1.0,0.0,1.0
CC_0001,28,1,125.0,1.0,17.0,1.0,0.0,1.0
CC_0002,46,2,125.0,1.0,17.0,1.0,0.0,1.0
CC_0003,13,3,244.0,1.0,17.0,1.0,0.0,1.0
CC_0004,10,4,207.0,1.0,12.0,1.0,0.0,1.0
CC_0005,7,5,209.0,0.8571428571428571,12.0,1.0,0.0,1.0
CC_0006,11,6,119.0,1.0,12.0,1.0,0.0,1.0
CC_0007,62,7,234.0,0.34210526315789475,12.0,1.0,0.0,1.0
CC_0008,15,8,192.0,1.0,12.0,1.0,0.0,1.0
CC_0009,4,9,,0.0,,0.0,,0.0
CC_0010,9,10,,0.0,15.0,1.0,0.0,1.0
CC_0011,4,11,80.0,1.0,12.0,1.0,0.0,1.0
CC_0012,9,12,,0.0,17.0,1.0,0.0,1.0
CC_0013,17,13,36.0,1.0,17.0,1.0,0.0,1.0
CC_0014,37,14,177.0,1.0,17.0,1.0,0.0,1.0
CC_0015,8,15,153.0,1.0,12.0,1.0,0.0,1.0
CC_0016,42,16,53.0,1.0,17.0,1.0,0.0,1.0
CC_0017,5,17,222.0,1.0,17.0,1.0,0.0,1.0
CC_0018,38,18,125.0,1.0,17.0,1.0,0.0,1.0
CC_0019,2,19,,0.0,,0.0,,0.0
CC_0020,7,20,177.0,1.0,17.0,1.0,0.0,1.0
CC_0021,14,21,105.0,0.8888888888888888,17.0,1.0,0.0,1.0
CC_0022,7,22,88.0,0.6666666666666666,17.0,1.0,0.0,1.0
CC_0023,6,23,,0.0,12.0,1.0,0.0,1.0
CC_0024,16,24,66.0,0.38461538461538464,12.0,1.0,0.0,1.0
CC_0025,5,25,64.0,0.6,12.0,1.0,0.0,1.0
CC_0026,8,26,,0.0,,0.0,,0.0
CC_0027,4,27,60.0,1.0,17.0,1.0,0.0,1.0
CC_0028,15,28,146.0,0.5,15.0,1.0,0.0,1.0
CC_0029,50,29,,0.0,12.0,0.9743589743589743,0.0,1.0
CC_0030,58,30,120.0,0.6666666666666666,15.0,1.0,0.0,1.0
CC_0031,6,31,71.0,1.0,17.0,1.0,0.0,1.0
CC_0032,8,32,195.0,0.42857142857142855,17.0,1.0,0.0,1.0
CC_0033,43,33,18.0,0.2222222222222222,12.0,1.0,0.0,1.0
CC_0034,2,34,136.0,1.0,12.0,1.0,0.0,1.0
CC_0035,8,35,126.0,0.75,17.0,1.0,0.0,1.0
CC_0036,40,36,83.0,0.75,15.0,1.0,0.0,1.0
CC_0037,6,37,183.0,1.0,17.0,1.0,0.0,1.0
CC_0038,3,38,27.0,0.5,17.0,1.0,0.0,1.0
CC_0039,3,39,,0.0,,0.0,,0.0
CC_0040,3,40,,0.0,,0.0,,0.0
CC_0041,2,41,,0.0,12.0,1.0,0.0,1.0
CC_0042,2,42,,0.0,,0.0,,0.0
CC_0043,12,43,157.0,1.0,15.0,1.0,0.0,1.0
CC_0044,37,44,,0.0,,0.0,,0.0
CC_0045,59,45,162.0,1.0,17.0,1.0,0.0,1.0
CC_0046,2,46,,0.0,12.0,1.0,0.0,1.0
CC_0047,3,47,,0.0,,0.0,,0.0
CC_0048,2,48,,0.0,12.0,1.0,0.0,1.0
CC_0049,9,49,128.0,1.0,17.0,1.0,0.0,1.0
CC_0050,7,50,147.0,0.6666666666666666,17.0,1.0,0.0,1.0
CC_0051,2,51,,0.0,,0.0,,0.0
CC_0052,11,52,180.0,1.0,15.0,1.0,0.0,1.0
CC_0053,2,53,214.0,1.0,17.0,1.0,0.0,1.0
CC_0054,10,54,104.0,1.0,17.0,1.0,0.0,1.0
CC_0055,9,55,121.0,1.0,15.0,1.0,0.0,1.0
CC_0056,6,56,212.0,1.0,17.0,1.0,0.0,1.0
CC_0057,4,57,68.0,1.0,12.0,1.0,0.0,1.0
CC_0058,3,58,63.0,1.0,12.0,1.0,0.0,1.0
CC_0059,4,59,190.0,1.0,17.0,1.0,0.0,1.0
CC_0060,35,60,171.0,0.6551724137931034,17.0,1.0,0.0,1.0
CC_0061,21,61,58.0,1.0,17.0,1.0,0.0,1.0
CC_0062,3,62,,0.0,15.0,1.0,0.0,1.0
CC_0063,19,63,242.0,1.0,17.0,1.0,0.0,1.0
CC_0064,3,64,,0.0,,0.0,,0.0
CC_0065,7,65,,0.0,17.0,0.6,0.0,1.0
CC_0066,19,66,116.0,0.6111111111111112,12.0,1.0,0.0,1.0
CC_0067,4,67,,0.0,,0.0,,0.0
CC_0068,2,68,,0.0,12.0,1.0,0.0,1.0
CC_0069,9,69,216.0,1.0,17.0,1.0,0.0,1.0
CC_0070,4,70,,0.0,,0.0,,0.0
CC_0071,4,71,,0.0,,0.0,,0.0
CC_0072,29,72,159.0,1.0,12.0,1.0,0.0,1.0
CC_0073,9,73,38.0,1.0,17.0,1.0,0.0,1.0
CC_0074,5,74,,0.0,,0.0,,0.0
CC_0075,3,75,,0.0,,0.0,,0.0
CC_0076,6,76,264.0,0.6666666666666666,17.0,1.0,0.0,1.0
CC_0077,3,77,,0.0,,0.0,,0.0
CC_0078,5,78,,0.0,17.0,1.0,0.0,1.0
CC_0079,22,79,,0.0,15.0,1.0,0.0,1.0
CC_0080,2,80,51.0,1.0,17.0,1.0,0.0,1.0
CC_0081,2,81,,0.0,17.0,1.0,0.0,1.0
CC_0082,3,82,76.0,1.0,17.0,1.0,0.0,1.0
CC_0083,2,83,86.0,1.0,17.0,1.0,0.0,1.0
CC_0084,19,84,,0.0,,0.0,,0.0
CC_0085,14,85,,0.0,,0.0,,0.0
CC_0086,23,86,,0.0,,0.0,,0.0
CC_0087,10,87,89.0,1.0,15.0,1.0,0.0,1.0
CC_0088,18,88,,0.0,15.0,1.0,0.0,1.0
CC_0089,2,89,,0.0,12.0,1.0,0.0,1.0
CC_0090,2,90,,0.0,,0.0,,0.0
CC_0091,4,91,,0.0,,0.0,,0.0
CC_0092,3,92,142.0,1.0,12.0,1.0,0.0,1.0
CC_0093,4,93,,0.0,17.0,1.0,0.0,1.0
CC_0094,2,94,179.0,1.0,17.0,1.0,0.0,1.0
CC_0095,3,95,254.0,1.0,12.0,1.0,0.0,1.0
CC_0096,14,96,215.0,1.0,17.0,1.0,0.0,1.0
CC_0097,16,97,,0.0,,0.0,,0.0
CC_0098,2,98,,0.0,,0.0,,0.0
CC_0099,5,99,,0.0,,0.0,,0.0
CC_0100,12,100,91.0,0.5833333333333334,15.0,1.0,0.0,1.0
CC_0101,4,101,75.0,1.0,15.0,1.0,0.0,1.0
CC_0102,3,102,225.0,1.0,15.0,1.0,0.0,1.0
CC_0103,2,103,258.0,1.0,17.0,1.0,0.0,1.0
CC_0104,8,104,132.0,1.0,15.0,1.0,0.0,1.0
CC_0105,2,105,,0.0,15.0,1.0,0.0,1.0
CC_0106,3,106,,0.0,15.0,1.0,0.0,1.0
CC_0107,2,107,135.0,1.0,15.0,1.0,0.0,1.0
CC_0108,2,108,259.0,1.0,17.0,1.0,0.0,1.0
CC_0109,21,109,45.0,0.5,0.0,1.0,0.0,1.0
CC_0110,5,110,,0.0,15.0,1.0,0.0,1.0
CC_0111,2,111,,0.0,12.0,1.0,0.0,1.0
CC_0112,2,112,,0.0,12.0,0.5,0.0,1.0
CC_0113,13,113,,0.0,,0.0,,0.0
CC_0114,2,114,,0.0,15.0,1.0,0.0,1.0
CC_0115,5,115,151.0,0.6,17.0,1.0,0.0,1.0
CC_0116,4,116,,0.0,,0.0,,0.0
CC_0117,3,117,,0.0,,0.0,,0.0
CC_0118,6,118,,0.0,,0.0,,0.0
CC_0119,2,119,,0.0,15.0,0.5,0.0,1.0
CC_0120,6,120,,0.0,,0.0,,0.0
CC_0121,4,121,,0.0,,0.0,,0.0
CC_0122,4,122,16.0,1.0,12.0,1.0,0.0,1.0
CC_0123,10,123,,0.0,,0.0,,0.0
CC_0124,5,124,227.0,1.0,17.0,1.0,0.0,1.0
CC_0125,2,125,,0.0,17.0,1.0,0.0,1.0
CC_0126,8,126,,0.0,,0.0,,0.0
CC_0127,23,127,,0.0,15.0,1.0,0.0,1.0
CC_0128,7,128,,0.0,,0.0,,0.0
CC_0129,2,129,,0.0,,0.0,,0.0
CC_0130,7,130,106.0,1.0,12.0,1.0,0.0,1.0
CC_0131,6,131,148.0,1.0,12.0,0.3333333333333333,0.0,1.0
CC_0132,6,132,,0.0,17.0,0.75,0.0,1.0
CC_0133,8,133,,0.0,17.0,1.0,0.0,1.0
CC_0134,2,134,25.0,1.0,12.0,1.0,0.0,1.0
CC_0135,2,135,,0.0,,0.0,,0.0
CC_0136,5,136,,0.0,15.0,1.0,0.0,1.0
CC_0137,4,137,,0.0,17.0,1.0,0.0,1.0
CC_0138,13,138,,0.0,,0.0,,0.0
CC_0139,16,139,85.0,0.75,12.0,1.0,0.0,1.0
CC_0140,2,140,,0.0,,0.0,,0.0
CC_0141,2,141,,0.0,17.0,1.0,0.0,1.0
CC_0142,6,142,,0.0,17.0,1.0,0.0,1.0
CC_0143,18,143,70.0,1.0,17.0,1.0,0.0,1.0
CC_0144,17,144,110.0,0.75,17.0,0.9333333333333333,0.0,1.0
CC_0145,7,145,,0.0,,0.0,,0.0
CC_0146,3,146,,0.0,12.0,1.0,0.0,1.0
CC_0147,3,147,,0.0,,0.0,,0.0
CC_0148,2,148,,0.0,17.0,1.0,0.0,1.0
CC_0149,2,149,101.0,1.0,12.0,1.0,0.0,1.0
CC_0150,8,150,,0.0,,0.0,,0.0
CC_0151,3,151,,0.0,,0.0,,0.0
CC_0152,2,152,,0.0,,0.0,,0.0
CC_0153,3,153,,0.0,,0.0,,0.0
CC_0154,13,154,,0.0,,0.0,,0.0
CC_0155,11,155,,0.0,,0.0,,0.0
CC_0156,3,156,,0.0,17.0,1.0,0.0,1.0
CC_0157,3,157,,0.0,,0.0,,0.0
CC_0158,5,158,,0.0,,0.0,,0.0
CC_0159,15,159,,0.0,17.0,1.0,0.0,1.0
CC_0160,5,160,,0.0,,0.0,,0.0
CC_0161,4,161,,0.0,12.0,1.0,0.0,1.0
CC_0162,2,162,,0.0,,0.0,,0.0
CC_0163,9,163,50.0,1.0,12.0,1.0,0.0,1.0
CC_0164,25,164,197.0,0.35,17.0,1.0,0.0,1.0
CC_0165,11,165,,0.0,,0.0,,0.0
