pos_module,pos_cluster,sig,id_module,size_module,pos_module,proteins,annotated_proteins,id_cluster,size_cluster,pos_cluster,pos_genus,precision_genus,pos_family,precision_family,pos_order,precision_order
0,33,28.798193621825554,MD_0000,320,0,6533.0,6709.0,CC_0033,43,33,18.0,0.2222222222222222,12.0,1.0,0.0,1.0
1,394,9.757816947849571,MD_0001,313,1,2047.0,2166.0,CC_0394,6,394,175.0,1.0,17.0,1.0,0.0,1.0
2,6,27.339164858352994,MD_0002,276,2,4055.0,4168.0,CC_0006,11,6,119.0,1.0,12.0,1.0,0.0,1.0
3,7,21.697803180214613,MD_0003,255,3,8396.0,8578.0,CC_0007,62,7,234.0,0.34210526315789475,12.0,1.0,0.0,1.0
6,218,47.61749258304198,MD_0006,244,6,4786.0,4824.0,CC_0218,19,218,41.0,1.0,12.0,1.0,0.0,1.0
7,66,28.153621240419817,MD_0007,233,7,3993.0,4118.0,CC_0066,19,66,116.0,0.6111111111111112,12.0,1.0,0.0,1.0
8,29,50.0498565619708,MD_0008,219,8,6295.0,6423.0,CC_0029,50,29,,0.0,12.0,0.9743589743589743,0.0,1.0
10,109,52.43398264309086,MD_0010,213,10,4183.0,4287.0,CC_0109,21,109,45.0,0.5,0.0,1.0,0.0,1.0
11,257,24.659902186957474,MD_0011,213,11,2153.0,2266.0,CC_0257,10,257,79.0,0.6666666666666666,12.0,1.0,0.0,1.0
13,33,8.846591968499663,MD_0013,201,13,1955.0,1974.0,CC_0033,43,33,18.0,0.2222222222222222,12.0,1.0,0.0,1.0
15,186,25.711884772922176,MD_0015,181,15,3090.0,3122.0,CC_0186,18,186,164.0,1.0,12.0,1.0,0.0,1.0
16,24,6.895685568536534,MD_0016,180,16,1623.0,1697.0,CC_0024,16,24,66.0,0.38461538461538464,12.0,1.0,0.0,1.0
17,278,33.98529115488293,MD_0017,176,17,2380.0,2487.0,CC_0278,15,278,235.0,1.0,17.0,1.0,0.0,1.0
18,7,48.97589332571788,MD_0018,170,18,5429.0,5492.0,CC_0007,62,7,234.0,0.34210526315789475,12.0,1.0,0.0,1.0
21,16,38.32558664561342,MD_0021,161,21,4503.0,4542.0,CC_0016,42,16,53.0,1.0,17.0,1.0,0.0,1.0
22,8,4.378654707444259,MD_0022,159,22,713.0,721.0,CC_0008,15,8,192.0,1.0,12.0,1.0,0.0,1.0
23,61,52.43398264309086,MD_0023,158,23,3759.0,3836.0,CC_0061,21,61,58.0,1.0,17.0,1.0,0.0,1.0
24,5,12.633787209639516,MD_0024,148,24,989.0,1034.0,CC_0005,7,5,209.0,0.8571428571428571,12.0,1.0,0.0,1.0
25,139,40.22173790793444,MD_0025,141,25,2396.0,2451.0,CC_0139,16,139,85.0,0.75,12.0,1.0,0.0,1.0
26,15,19.172586137615887,MD_0026,141,26,1398.0,1433.0,CC_0015,8,15,153.0,1.0,12.0,1.0,0.0,1.0
30,29,8.355275288616214,MD_0030,131,30,1617.0,1638.0,CC_0029,50,29,,0.0,12.0,0.9743589743589743,0.0,1.0
31,2,107.3705149218685,MD_0031,122,31,3795.0,3877.0,CC_0002,46,2,125.0,1.0,17.0,1.0,0.0,1.0
37,169,3.0935839844707154,MD_0037,112,37,720.0,747.0,CC_0169,6,169,123.0,1.0,12.0,1.0,0.0,1.0
40,63,6.470463175134826,MD_0040,107,40,1595.0,1640.0,CC_0063,19,63,242.0,1.0,17.0,1.0,0.0,1.0
42,60,40.52476523122617,MD_0042,107,42,3168.0,3176.0,CC_0060,35,60,171.0,0.6551724137931034,17.0,1.0,0.0,1.0
44,299,6.337696099765353,MD_0044,105,44,702.0,713.0,CC_0299,6,299,176.0,1.0,15.0,1.0,0.0,1.0
46,7,7.662987827458718,MD_0046,101,46,2746.0,2762.0,CC_0007,62,7,234.0,0.34210526315789475,12.0,1.0,0.0,1.0
50,4,2.3154327340870715,MD_0050,97,50,358.0,359.0,CC_0004,10,4,207.0,1.0,12.0,1.0,0.0,1.0
53,273,32.58710304881281,MD_0053,94,53,1484.0,1498.0,CC_0273,13,273,168.0,1.0,12.0,1.0,0.0,1.0
63,168,21.93916420994355,MD_0063,79,63,1155.0,1231.0,CC_0168,9,168,56.0,1.0,17.0,1.0,0.0,1.0
65,100,22.8403582514156,MD_0065,77,65,1301.0,1346.0,CC_0100,12,100,91.0,0.5833333333333334,15.0,1.0,0.0,1.0
69,58,4.394613980134698,MD_0069,75,69,264.0,274.0,CC_0058,3,58,63.0,1.0,12.0,1.0,0.0,1.0
71,18,44.464171171214474,MD_0071,73,71,2091.0,2142.0,CC_0018,38,18,125.0,1.0,17.0,1.0,0.0,1.0
74,1,17.541865417788067,MD_0074,68,74,1750.0,1771.0,CC_0001,28,1,125.0,1.0,17.0,1.0,0.0,1.0
76,176,16.354772953789627,MD_0076,67,76,739.0,757.0,CC_0176,7,176,,0.0,,0.0,,0.0
77,144,38.991288986556164,MD_0077,65,77,1157.0,1211.0,CC_0144,17,144,110.0,0.75,17.0,0.9333333333333333,0.0,1.0
79,301,37.70561587229931,MD_0079,65,79,811.0,829.0,CC_0301,15,301,219.0,1.0,17.0,1.0,0.0,1.0
80,24,4.253715970835962,MD_0080,65,80,249.0,249.0,CC_0024,16,24,66.0,0.38461538461538464,12.0,1.0,0.0,1.0
87,143,45.17625235762555,MD_0087,60,87,1282.0,1329.0,CC_0143,18,143,70.0,1.0,17.0,1.0,0.0,1.0
98,52,27.339164858352994,MD_0098,55,98,933.0,943.0,CC_0052,11,52,180.0,1.0,15.0,1.0,0.0,1.0
102,45,133.292282910742,MD_0102,52,102,2614.0,2673.0,CC_0045,59,45,162.0,1.0,17.0,1.0,0.0,1.0
104,288,23.618509501799252,MD_0104,52,104,552.0,564.0,CC_0288,11,288,202.0,1.0,16.0,1.0,1.0,1.0
106,54,24.659902186957474,MD_0106,51,106,644.0,651.0,CC_0054,10,54,104.0,1.0,17.0,1.0,0.0,1.0
108,289,21.659468109478155,MD_0108,50,108,650.0,659.0,CC_0289,14,289,226.0,1.0,15.0,1.0,0.0,1.0
117,197,5.191568064087116,MD_0117,46,117,641.0,653.0,CC_0197,10,197,,0.0,,0.0,,0.0
119,72,24.75546413877555,MD_0119,46,119,960.0,989.0,CC_0072,29,72,159.0,1.0,12.0,1.0,0.0,1.0
120,28,33.98529115488293,MD_0120,46,120,702.0,738.0,CC_0028,15,28,146.0,0.5,15.0,1.0,0.0,1.0
128,30,72.98548076309547,MD_0128,42,128,1661.0,1749.0,CC_0030,58,30,120.0,0.6666666666666666,15.0,1.0,0.0,1.0
132,87,11.15666595491985,MD_0132,41,132,406.0,419.0,CC_0087,10,87,89.0,1.0,15.0,1.0,0.0,1.0
140,232,16.354772953789627,MD_0140,38,140,263.0,267.0,CC_0232,7,232,42.0,1.0,17.0,1.0,0.0,1.0
145,321,4.394613980134698,MD_0145,36,145,111.0,111.0,CC_0321,3,321,,0.0,17.0,1.0,0.0,1.0
150,295,21.93916420994355,MD_0150,35,150,360.0,374.0,CC_0295,9,295,169.0,0.6666666666666666,17.0,1.0,0.0,1.0
154,14,20.712802102402286,MD_0154,33,154,542.0,551.0,CC_0014,37,14,177.0,1.0,17.0,1.0,0.0,1.0
167,669,4.394613980134698,MD_0167,30,167,94.0,95.0,CC_0669,3,669,14.0,1.0,1.0,1.0,,0.0
179,257,2.3154327340870715,MD_0179,26,179,79.0,79.0,CC_0257,10,257,79.0,0.6666666666666666,12.0,1.0,0.0,1.0
183,29,16.766830780743888,MD_0183,24,183,285.0,298.0,CC_0029,50,29,,0.0,12.0,0.9743589743589743,0.0,1.0
184,106,4.394613980134698,MD_0184,24,184,91.0,92.0,CC_0106,3,106,,0.0,15.0,1.0,0.0,1.0
195,25,3.3946139801346966,MD_0195,22,195,68.0,68.0,CC_0025,5,25,64.0,0.6,12.0,1.0,0.0,1.0
202,222,13.836259013911745,MD_0202,20,202,189.0,196.0,CC_0222,11,222,,0.0,12.0,1.0,0.0,1.0
204,30,26.318864129622867,MD_0204,19,204,426.0,449.0,CC_0030,58,30,120.0,0.6666666666666666,15.0,1.0,0.0,1.0
205,374,19.172586137615887,MD_0205,19,205,188.0,188.0,CC_0374,8,374,160.0,1.0,15.0,1.0,0.0,1.0
207,219,2.3154327340870715,MD_0207,19,207,207.0,208.0,CC_0219,10,219,,0.0,,0.0,,0.0
224,138,25.44707025566251,MD_0224,17,224,217.0,225.0,CC_0138,13,138,,0.0,,0.0,,0.0
231,349,4.394613980134698,MD_0231,17,231,60.0,60.0,CC_0349,3,349,,0.0,17.0,0.6666666666666666,0.0,1.0
233,200,20.01884472301083,MD_0233,16,233,279.0,282.0,CC_0200,18,200,,0.0,,0.0,,0.0
243,207,8.787780171227014,MD_0243,15,243,197.0,200.0,CC_0207,8,207,,0.0,,0.0,,0.0
249,4,5.191568064087116,MD_0249,15,249,65.0,65.0,CC_0004,10,4,207.0,1.0,12.0,1.0,0.0,1.0
293,146,4.394613980134698,MD_0293,11,293,35.0,35.0,CC_0146,3,146,,0.0,12.0,1.0,0.0,1.0
294,283,12.546224402549226,MD_0294,11,294,122.0,125.0,CC_0283,15,283,,0.0,,0.0,,0.0
298,274,3.792553988806736,MD_0298,11,298,33.0,33.0,CC_0274,4,274,65.0,1.0,12.0,1.0,0.0,1.0
301,157,4.394613980134698,MD_0301,11,301,34.0,34.0,CC_0157,3,157,,0.0,,0.0,,0.0
302,257,2.3154327340870715,MD_0302,10,302,53.0,55.0,CC_0257,10,257,79.0,0.6666666666666666,12.0,1.0,0.0,1.0
310,127,12.528972024941561,MD_0310,10,310,182.0,195.0,CC_0127,23,127,,0.0,15.0,1.0,0.0,1.0
317,684,4.394613980134698,MD_0317,10,317,30.0,30.0,CC_0684,3,684,,0.0,8.0,1.0,,0.0
318,578,4.394613980134698,MD_0318,10,318,30.0,30.0,CC_0578,3,578,118.0,1.0,15.0,1.0,0.0,1.0
338,138,26.52865196962575,MD_0338,8,338,152.0,156.0,CC_0138,13,138,,0.0,,0.0,,0.0
338,154,5.248710662000121,MD_0338,8,338,152.0,156.0,CC_0154,13,154,,0.0,,0.0,,0.0
362,312,4.394613980134698,MD_0362,7,362,94.0,95.0,CC_0312,3,312,,0.0,17.0,1.0,0.0,1.0
363,113,14.410529641044393,MD_0363,7,363,161.0,198.0,CC_0113,13,113,,0.0,,0.0,,0.0
364,121,1.7138061807167722,MD_0364,7,364,136.0,140.0,CC_0121,4,121,,0.0,,0.0,,0.0
372,131,9.779481167838009,MD_0372,7,372,91.0,92.0,CC_0131,6,131,148.0,1.0,12.0,0.3333333333333333,0.0,1.0
372,210,6.280950076028587,MD_0372,7,372,91.0,92.0,CC_0210,6,210,140.0,1.0,12.0,1.0,0.0,1.0
386,551,4.394613980134698,MD_0386,7,386,21.0,21.0,CC_0551,3,551,,0.0,,0.0,,0.0
391,16,14.079158954433359,MD_0391,6,391,84.0,85.0,CC_0016,42,16,53.0,1.0,17.0,1.0,0.0,1.0
395,79,19.905802190974846,MD_0395,6,395,164.0,174.0,CC_0079,22,79,,0.0,15.0,1.0,0.0,1.0
396,158,3.5555390175893464,MD_0396,6,396,106.0,111.0,CC_0158,5,158,,0.0,,0.0,,0.0
396,239,4.253715970837394,MD_0396,6,396,106.0,111.0,CC_0239,4,239,,0.0,,0.0,,0.0
397,69,4.798345003377676,MD_0397,6,397,104.0,113.0,CC_0069,9,69,216.0,1.0,17.0,1.0,0.0,1.0
397,96,11.588980139232516,MD_0397,6,397,104.0,113.0,CC_0096,14,96,215.0,1.0,17.0,1.0,0.0,1.0
420,628,4.394613980134698,MD_0420,6,420,18.0,18.0,CC_0628,3,628,100.0,1.0,8.0,1.0,,0.0
423,525,4.394613980134698,MD_0423,6,423,18.0,18.0,CC_0525,3,525,,0.0,,0.0,,0.0
444,198,4.969983503964153,MD_0444,5,444,65.0,70.0,CC_0198,5,198,,0.0,12.0,1.0,0.0,1.0
444,312,2.646425953129711,MD_0444,5,444,65.0,70.0,CC_0312,3,312,,0.0,17.0,1.0,0.0,1.0
455,24,4.253715970835962,MD_0455,5,455,23.0,23.0,CC_0024,16,24,66.0,0.38461538461538464,12.0,1.0,0.0,1.0
473,587,3.7925539888050075,MD_0473,5,473,24.0,24.0,CC_0587,3,587,,0.0,,0.0,,0.0
481,161,3.792553988806736,MD_0481,5,481,16.0,17.0,CC_0161,4,161,,0.0,12.0,1.0,0.0,1.0
482,115,3.3946139801346966,MD_0482,5,482,19.0,20.0,CC_0115,5,115,151.0,0.6,17.0,1.0,0.0,1.0
483,321,4.394613980134698,MD_0483,5,483,17.0,17.0,CC_0321,3,321,,0.0,17.0,1.0,0.0,1.0
509,29,14.6482354155181,MD_0509,4,509,39.0,47.0,CC_0029,50,29,,0.0,12.0,0.9743589743589743,0.0,1.0
510,169,9.757816947849571,MD_0510,4,510,19.0,23.0,CC_0169,6,169,123.0,1.0,12.0,1.0,0.0,1.0
511,271,3.680411611263647,MD_0511,4,511,115.0,115.0,CC_0271,5,271,,0.0,,0.0,,0.0
514,176,2.850545935784421,MD_0514,4,514,42.0,45.0,CC_0176,7,176,,0.0,,0.0,,0.0
515,32,13.482111843721265,MD_0515,4,515,64.0,64.0,CC_0032,8,32,195.0,0.42857142857142855,17.0,1.0,0.0,1.0
515,261,1.1463954189426664,MD_0515,4,515,64.0,64.0,CC_0261,3,261,252.0,1.0,17.0,1.0,0.0,1.0
515,338,1.1463954189426664,MD_0515,4,515,64.0,64.0,CC_0338,3,338,,0.0,,0.0,,0.0
517,71,3.9254035904431532,MD_0517,4,517,84.0,84.0,CC_0071,4,71,,0.0,,0.0,,0.0
517,385,1.4082902030833466,MD_0517,4,517,84.0,84.0,CC_0385,3,385,,0.0,,0.0,,0.0
519,65,1.5502589024183262,MD_0519,4,519,50.0,51.0,CC_0065,7,65,,0.0,17.0,0.6,0.0,1.0
519,322,3.093583984469314,MD_0519,4,519,50.0,51.0,CC_0322,3,322,178.0,1.0,17.0,1.0,0.0,1.0
527,26,1.103596320465635,MD_0527,4,527,57.0,59.0,CC_0026,8,26,,0.0,,0.0,,0.0
538,324,4.394613980134698,MD_0538,4,538,13.0,13.0,CC_0324,3,324,,0.0,,0.0,,0.0
561,391,3.792553988806736,MD_0561,4,561,23.0,23.0,CC_0391,4,391,,0.0,,0.0,,0.0
571,156,4.394613980134698,MD_0571,4,571,12.0,12.0,CC_0156,3,156,,0.0,17.0,1.0,0.0,1.0
572,4,2.3154327340870715,MD_0572,4,572,13.0,13.0,CC_0004,10,4,207.0,1.0,12.0,1.0,0.0,1.0
580,595,4.394613980134698,MD_0580,4,580,13.0,13.0,CC_0595,3,595,,0.0,,0.0,,0.0
587,25,3.3946139801346966,MD_0587,4,587,12.0,12.0,CC_0025,5,25,64.0,0.6,12.0,1.0,0.0,1.0
590,4,2.3154327340870715,MD_0590,4,590,13.0,13.0,CC_0004,10,4,207.0,1.0,12.0,1.0,0.0,1.0
