id,size,pos,proteins,annotated_proteins
MD_0000,320,0,6533.0,6709.0
MD_0001,313,1,2047.0,2166.0
MD_0002,276,2,4055.0,4168.0
MD_0003,255,3,8396.0,8578.0
MD_0004,252,4,1067.0,1082.0
MD_0005,246,5,1107.0,1134.0
MD_0006,244,6,4786.0,4824.0
MD_0007,233,7,3993.0,4118.0
MD_0008,219,8,6295.0,6423.0
MD_0009,215,9,1548.0,1574.0
MD_0010,213,10,4183.0,4287.0
MD_0011,213,11,2153.0,2266.0
MD_0012,212,12,1877.0,1925.0
MD_0013,201,13,1955.0,1974.0
MD_0014,182,14,679.0,691.0
MD_0015,181,15,3090.0,3122.0
MD_0016,180,16,1623.0,1697.0
MD_0017,176,17,2380.0,2487.0
MD_0018,170,18,5429.0,5492.0
MD_0019,164,19,1151.0,1198.0
MD_0020,163,20,696.0,715.0
MD_0021,161,21,4503.0,4542.0
MD_0022,159,22,713.0,721.0
MD_0023,158,23,3759.0,3836.0
MD_0024,148,24,989.0,1034.0
MD_0025,141,25,2396.0,2451.0
MD_0026,141,26,1398.0,1433.0
MD_0027,137,27,456.0,461.0
MD_0028,136,28,687.0,744.0
MD_0029,134,29,644.0,649.0
MD_0030,131,30,1617.0,1638.0
MD_0031,122,31,3795.0,3877.0
MD_0032,120,32,948.0,984.0
MD_0033,119,33,816.0,849.0
MD_0034,114,34,1473.0,1557.0
MD_0035,114,35,526.0,558.0
MD_0036,113,36,624.0,643.0
MD_0037,112,37,720.0,747.0
MD_0038,109,38,723.0,739.0
MD_0039,107,39,989.0,1005.0
MD_0040,107,40,1595.0,1640.0
MD_0041,107,41,644.0,663.0
MD_0042,107,42,3168.0,3176.0
MD_0043,105,43,827.0,840.0
MD_0044,105,44,702.0,713.0
MD_0045,102,45,997.0,1025.0
MD_0046,101,46,2746.0,2762.0
MD_0047,101,47,516.0,519.0
MD_0048,100,48,2350.0,2374.0
MD_0049,100,49,410.0,422.0
MD_0050,97,50,358.0,359.0
MD_0051,96,51,668.0,670.0
MD_0052,95,52,550.0,558.0
MD_0053,94,53,1484.0,1498.0
MD_0054,93,54,1069.0,1097.0
MD_0055,92,55,481.0,505.0
MD_0056,91,56,827.0,844.0
MD_0057,85,57,479.0,489.0
MD_0058,85,58,560.0,588.0
MD_0059,83,59,969.0,997.0
MD_0060,83,60,284.0,287.0
MD_0061,81,61,733.0,743.0
MD_0062,80,62,694.0,719.0
MD_0063,79,63,1155.0,1231.0
MD_0064,79,64,401.0,406.0
MD_0065,77,65,1301.0,1346.0
MD_0066,77,66,438.0,451.0
MD_0067,77,67,397.0,419.0
MD_0068,75,68,901.0,915.0
MD_0069,75,69,264.0,274.0
MD_0070,74,70,929.0,938.0
MD_0071,73,71,2091.0,2142.0
MD_0072,73,72,657.0,664.0
MD_0073,69,73,361.0,363.0
MD_0074,68,74,1750.0,1771.0
MD_0075,67,75,408.0,419.0
MD_0076,67,76,739.0,757.0
MD_0077,65,77,1157.0,1211.0
MD_0078,65,78,774.0,787.0
MD_0079,65,79,811.0,829.0
MD_0080,65,80,249.0,249.0
MD_0081,64,81,724.0,751.0
MD_0082,63,82,444.0,496.0
MD_0083,63,83,443.0,448.0
MD_0084,63,84,341.0,347.0
MD_0085,62,85,269.0,276.0
MD_0086,61,86,488.0,493.0
MD_0087,60,87,1282.0,1329.0
MD_0088,60,88,407.0,412.0
MD_0089,59,89,628.0,638.0
MD_0090,59,90,1068.0,1083.0
MD_0091,59,91,886.0,916.0
MD_0092,59,92,407.0,412.0
MD_0093,58,93,421.0,430.0
MD_0094,58,94,481.0,483.0
MD_0095,57,95,424.0,435.0
MD_0096,56,96,765.0,775.0
MD_0097,56,97,456.0,467.0
MD_0098,55,98,933.0,943.0
MD_0099,54,99,378.0,394.0
MD_0100,54,100,448.0,455.0
MD_0101,54,101,291.0,297.0
MD_0102,52,102,2614.0,2673.0
