contig_id,index,pos,proteins,origin,order,family,genus,pos_cluster,pos_clusters,membership,pos_cluster_mbship,predicted_genus,predicted_family,predicted_order
Acholeplasma~phage~MV-L1,0,0,4,RefSeq-85,,Inoviridae,Plectrovirus,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Acholeplasma~virus~L2,1,1,16,RefSeq-85,,Plasmaviridae,Plasmavirus,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Achromobacter~phage~83-24,2,2,61,RefSeq-85,Caudovirales,Siphoviridae,Jwxvirus,167,,1.0,167.0,Jwxvirus,Siphoviridae,Caudovirales
Achromobacter~phage~JWAlpha,3,3,91,RefSeq-85,Caudovirales,Podoviridae,Jwalphavirus,100,,1.0,100.0,G7cvirus,Podoviridae,Caudovirales
Achromobacter~phage~JWF,4,4,118,RefSeq-85,Caudovirales,Siphoviridae,,412,,1.0,412.0,Non affiliated,Siphoviridae,Caudovirales
Achromobacter~phage~JWX,5,5,67,RefSeq-85,Caudovirales,Siphoviridae,Jwxvirus,167,,1.0,167.0,Jwxvirus,Siphoviridae,Caudovirales
Achromobacter~phage~phiAxp-1,6,6,64,RefSeq-85,Caudovirales,Siphoviridae,,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Achromobacter~phage~phiAxp-2,7,7,86,RefSeq-85,Caudovirales,Siphoviridae,,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Achromobacter~phage~phiAxp-3,8,8,80,RefSeq-85,Caudovirales,Podoviridae,Jwalphavirus,100,,1.0,100.0,G7cvirus,Podoviridae,Caudovirales
Acidianus~bottle-shaped~virus,9,9,57,RefSeq-85,,Ampullaviridae,Ampullavirus,669,,1.0,669.0,Ampullavirus,Ampullaviridae,Non affiliated
Acidianus~bottle-shaped~virus~2,10,10,54,RefSeq-85,,Ampullaviridae,,669,,1.0,669.0,Ampullavirus,Ampullaviridae,Non affiliated
Acidianus~bottle-shaped~virus~3,11,11,66,RefSeq-85,,Ampullaviridae,,669,,1.0,669.0,Ampullavirus,Ampullaviridae,Non affiliated
Acidianus~filamentous~virus~1,12,12,40,RefSeq-85,Ligamenvirales,Lipothrixviridae,Gammalipothrixvirus,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Acidianus~filamentous~virus~2,13,13,52,RefSeq-85,Ligamenvirales,Lipothrixviridae,Deltalipothrixvirus,,,0.0,,Non affiliated,Non affiliated,Non affiliated
Acidianus~filamentous~virus~3,14,14,68,RefSeq-85,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,442,,1.0,442.0,Betalipothrixvirus,Lipothrixviridae,Ligamenvirales
