contig_id,proteins
Acholeplasma phage MV-L1,4
Acholeplasma virus L2,16
Achromobacter phage 83-24,61
Achromobacter phage JWAlpha,91
Achromobacter phage JWF,118
Achromobacter phage JWX,67
Achromobacter phage phiAxp-1,64
Achromobacter phage phiAxp-2,86
Achromobacter phage phiAxp-3,80
Acidianus bottle-shaped virus,57
Acidianus bottle-shaped virus 2,54
Acidianus bottle-shaped virus 3,66
Acidianus filamentous virus 1,40
Acidianus filamentous virus 2,52
Acidianus filamentous virus 3,68
Acidianus filamentous virus 6,66
Acidianus filamentous virus 7,57
Acidianus filamentous virus 8,61
Acidianus filamentous virus 9,73
Acidianus rod-shaped virus 1,41
Acidianus rod-shaped virus 2,43
Acidianus spindle-shaped virus 1,38
Acidianus tailed spindle virus,95
Acidianus two-tailed virus,72
Acinetobacter bacteriophage AP22,89
Acinetobacter phage AB3,29
Acinetobacter phage AP205,4
Acinetobacter phage Abp1,54
Acinetobacter phage Ac42,255
Acinetobacter phage Acj61,241
Acinetobacter phage Acj9,253
Acinetobacter phage Bphi-B1251,62
Acinetobacter phage Fri1,54
Acinetobacter phage IME_AB3,57
Acinetobacter phage LZ35,83
Acinetobacter phage Petty,45
Acinetobacter phage Presley,95
Acinetobacter phage YMC-13-01-C62,84
Acinetobacter phage YMC11/12/R2315,85
Acinetobacter phage YMC13/03/R2096,162
Acinetobacter phage ZZ1,256
Acinetobacter phage phiAB1,46
Acinetobacter phage phiAB6,45
Acinetobacter phage phiAC-1,82
Acinetobacter phage vB_AbaM_Acibel004,156
Acinetobacter phage vB_AbaM_IME200,52
Acinetobacter phage vB_AbaM_phiAbaA1,165
Acinetobacter phage vB_AbaP_Acibel007,53
Acinetobacter phage vB_AbaP_PD-6A3,48
Acinetobacter phage vB_AbaP_PD-AB9,48
Acinetobacter phage vB_AbaS_TRS1,70
Acinetobacter virus 133,257
Actinomyces virus Av1,22
Actinoplanes phage phiAsp2,76
Aeromonas phage Aes012,243
Aeromonas phage Aes508,234
Aeromonas phage CC2,427
Aeromonas phage PX29,330
Aeromonas phage pAh6-C,86
Aeromonas phage phiAS4,271
Aeromonas phage phiAS5,343
Aeromonas phage phiAS7,51
Aeromonas phage vB_AsaM-56,83
Aeromonas virus 25,242
Aeromonas virus 31,247
Aeromonas virus 44RR2,252
Aeromonas virus 65,437
Aeromonas virus Aeh1,352
Aeromonas virus phiO18P,45
Aeropyrum pernix ovoid virus 1,21
Aeropyrum pernix spindle-shaped virus 1,53
Aggregatibacter phage S1249,66
Agrobacterium phage 7-7-1,127
Alteromonas phage vB_AmaP_AD45-P1,120
Anabaena phage A-4L,38
Archaeal BJ1 virus,70
Arthrobacter phage BarretLemon,79
Arthrobacter phage Decurro,26
Arthrobacter phage KellEzio,98
Arthrobacter phage Kitkat,100
Arthrobacter phage Mudcat,95
Arthrobacter phage vB_ArS-ArV2,68
Arthrobacter phage vB_ArtM-ArV1,101
Aurantimonas phage AmM-1,67
Azospirillum phage Cd,95
Bacillus phage 0305phi8-36,246
