,pos,contig_id,proteins,origin,order,family,genus
0,0,Acholeplasma~phage~MV-L1,4,RefSeq-85,,Inoviridae,Plectrovirus
1,1,Acholeplasma~virus~L2,16,RefSeq-85,,Plasmaviridae,Plasmavirus
2,2,Achromobacter~phage~83-24,61,RefSeq-85,Caudovirales,Siphoviridae,Jwxvirus
3,3,Achromobacter~phage~JWAlpha,91,RefSeq-85,Caudovirales,Podoviridae,Jwalphavirus
4,4,Achromobacter~phage~JWF,118,RefSeq-85,Caudovirales,Siphoviridae,
5,5,Achromobacter~phage~JWX,67,RefSeq-85,Caudovirales,Siphoviridae,Jwxvirus
6,6,Achromobacter~phage~phiAxp-1,64,RefSeq-85,Caudovirales,Siphoviridae,
7,7,Achromobacter~phage~phiAxp-2,86,RefSeq-85,Caudovirales,Siphoviridae,
8,8,Achromobacter~phage~phiAxp-3,80,RefSeq-85,Caudovirales,Podoviridae,Jwalphavirus
9,9,Acidianus~bottle-shaped~virus,57,RefSeq-85,,Ampullaviridae,Ampullavirus
10,10,Acidianus~bottle-shaped~virus~2,54,RefSeq-85,,Ampullaviridae,
11,11,Acidianus~bottle-shaped~virus~3,66,RefSeq-85,,Ampullaviridae,
12,12,Acidianus~filamentous~virus~1,40,RefSeq-85,Ligamenvirales,Lipothrixviridae,Gammalipothrixvirus
13,13,Acidianus~filamentous~virus~2,52,RefSeq-85,Ligamenvirales,Lipothrixviridae,Deltalipothrixvirus
14,14,Acidianus~filamentous~virus~3,68,RefSeq-85,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus
15,15,Acidianus~filamentous~virus~6,66,RefSeq-85,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus
16,16,Acidianus~filamentous~virus~7,57,RefSeq-85,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus
17,17,Acidianus~filamentous~virus~8,61,RefSeq-85,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus
18,18,Acidianus~filamentous~virus~9,73,RefSeq-85,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus
19,19,Acidianus~rod-shaped~virus~1,41,RefSeq-85,Ligamenvirales,Rudiviridae,Rudivirus
20,20,Acidianus~rod-shaped~virus~2,43,RefSeq-85,Ligamenvirales,Rudiviridae,
21,21,Acidianus~spindle-shaped~virus~1,38,RefSeq-85,,Fuselloviridae,Betafusellovirus
22,22,Acidianus~tailed~spindle~virus,95,RefSeq-85,,Bicaudaviridae,
23,23,Acidianus~two-tailed~virus,72,RefSeq-85,,Bicaudaviridae,Bicaudavirus
24,24,Acinetobacter~bacteriophage~AP22,89,RefSeq-85,Caudovirales,Myoviridae,Ap22virus
25,25,Acinetobacter~phage~AB3,29,RefSeq-85,Caudovirales,Podoviridae,Fri1virus
26,26,Acinetobacter~phage~AP205,4,RefSeq-85,,Leviviridae,
27,27,Acinetobacter~phage~Abp1,54,RefSeq-85,Caudovirales,Podoviridae,Fri1virus
28,28,Acinetobacter~phage~Ac42,255,RefSeq-85,Caudovirales,Myoviridae,
29,29,Acinetobacter~phage~Acj61,241,RefSeq-85,Caudovirales,Myoviridae,
30,30,Acinetobacter~phage~Acj9,253,RefSeq-85,Caudovirales,Myoviridae,
31,31,Acinetobacter~phage~Bphi-B1251,62,RefSeq-85,Caudovirales,Podoviridae,
32,32,Acinetobacter~phage~Fri1,54,RefSeq-85,Caudovirales,Podoviridae,Fri1virus
33,33,Acinetobacter~phage~IME_AB3,57,RefSeq-85,Caudovirales,Siphoviridae,
34,34,Acinetobacter~phage~LZ35,83,RefSeq-85,,,
35,35,Acinetobacter~phage~Petty,45,RefSeq-85,Caudovirales,Podoviridae,
36,36,Acinetobacter~phage~Presley,95,RefSeq-85,Caudovirales,Podoviridae,
37,37,Acinetobacter~phage~YMC-13-01-C62,84,RefSeq-85,Caudovirales,Myoviridae,Ap22virus
38,38,Acinetobacter~phage~YMC11/12/R2315,85,RefSeq-85,Caudovirales,Myoviridae,
39,39,Acinetobacter~phage~YMC13/03/R2096,162,RefSeq-85,Caudovirales,Myoviridae,
40,40,Acinetobacter~phage~ZZ1,256,RefSeq-85,Caudovirales,Myoviridae,
41,41,Acinetobacter~phage~phiAB1,46,RefSeq-85,Caudovirales,Podoviridae,Fri1virus
42,42,Acinetobacter~phage~phiAB6,45,RefSeq-85,,,
43,43,Acinetobacter~phage~phiAC-1,82,RefSeq-85,Caudovirales,Myoviridae,
44,44,Acinetobacter~phage~vB_AbaM_Acibel004,156,RefSeq-85,Caudovirales,Myoviridae,
45,45,Acinetobacter~phage~vB_AbaM_IME200,52,RefSeq-85,Caudovirales,Podoviridae,Fri1virus
46,46,Acinetobacter~phage~vB_AbaM_phiAbaA1,165,RefSeq-85,,,
47,47,Acinetobacter~phage~vB_AbaP_Acibel007,53,RefSeq-85,Caudovirales,Podoviridae,
48,48,Acinetobacter~phage~vB_AbaP_PD-6A3,48,RefSeq-85,Caudovirales,Podoviridae,Fri1virus
49,49,Acinetobacter~phage~vB_AbaP_PD-AB9,48,RefSeq-85,Caudovirales,Podoviridae,Fri1virus
50,50,Acinetobacter~phage~vB_AbaS_TRS1,70,RefSeq-85,,,
51,51,Acinetobacter~virus~133,257,RefSeq-85,Caudovirales,Myoviridae,
52,52,Actinomyces~virus~Av1,22,RefSeq-85,Caudovirales,Podoviridae,
53,53,Actinoplanes~phage~phiAsp2,76,RefSeq-85,Caudovirales,Siphoviridae,
54,54,Aeromonas~phage~Aes012,243,RefSeq-85,Caudovirales,Myoviridae,Secunda5virus
55,55,Aeromonas~phage~Aes508,234,RefSeq-85,Caudovirales,Myoviridae,Secunda5virus
56,56,Aeromonas~phage~CC2,427,RefSeq-85,Caudovirales,Myoviridae,
57,57,Aeromonas~phage~PX29,330,RefSeq-85,Caudovirales,Myoviridae,
58,58,Aeromonas~phage~pAh6-C,86,RefSeq-85,Caudovirales,Myoviridae,
59,59,Aeromonas~phage~phiAS4,271,RefSeq-85,Caudovirales,Myoviridae,Secunda5virus
60,60,Aeromonas~phage~phiAS5,343,RefSeq-85,Caudovirales,Myoviridae,
61,61,Aeromonas~phage~phiAS7,51,RefSeq-85,Caudovirales,Podoviridae,
62,62,Aeromonas~phage~vB_AsaM-56,83,RefSeq-85,Caudovirales,Myoviridae,
63,63,Aeromonas~virus~25,242,RefSeq-85,Caudovirales,Myoviridae,Secunda5virus
64,64,Aeromonas~virus~31,247,RefSeq-85,Caudovirales,Myoviridae,Secunda5virus
65,65,Aeromonas~virus~44RR2,252,RefSeq-85,Caudovirales,Myoviridae,Biquartavirus
66,66,Aeromonas~virus~65,437,RefSeq-85,Caudovirales,Myoviridae,
67,67,Aeromonas~virus~Aeh1,352,RefSeq-85,Caudovirales,Myoviridae,
68,68,Aeromonas~virus~phiO18P,45,RefSeq-85,Caudovirales,Myoviridae,Hp1virus
69,69,Aeropyrum~pernix~ovoid~virus~1,21,RefSeq-85,,Guttaviridae,Betaguttavirus
70,70,Aeropyrum~pernix~spindle-shaped~virus~1,53,RefSeq-85,,,
71,71,Aggregatibacter~phage~S1249,66,RefSeq-85,,,
72,72,Agrobacterium~phage~7-7-1,127,RefSeq-85,Caudovirales,Myoviridae,
73,73,Alteromonas~phage~vB_AmaP_AD45-P1,120,RefSeq-85,Caudovirales,Podoviridae,
74,74,Anabaena~phage~A-4L,38,RefSeq-85,Caudovirales,Podoviridae,
75,75,Archaeal~BJ1~virus,70,RefSeq-85,Caudovirales,Siphoviridae,
76,76,Arthrobacter~phage~BarretLemon,79,RefSeq-85,Caudovirales,Myoviridae,Chippewavirus
77,77,Arthrobacter~phage~Decurro,26,RefSeq-85,Caudovirales,Siphoviridae,Decurrovirus
78,78,Arthrobacter~phage~KellEzio,98,RefSeq-85,Caudovirales,Siphoviridae,Kelleziovirus
79,79,Arthrobacter~phage~Kitkat,100,RefSeq-85,Caudovirales,Siphoviridae,Kelleziovirus
80,80,Arthrobacter~phage~Mudcat,95,RefSeq-85,Caudovirales,Siphoviridae,Mudcatvirus
81,81,Arthrobacter~phage~vB_ArS-ArV2,68,RefSeq-85,Caudovirales,Siphoviridae,
82,82,Arthrobacter~phage~vB_ArtM-ArV1,101,RefSeq-85,Caudovirales,Myoviridae,Arvunavirus
83,83,Aurantimonas~phage~AmM-1,67,RefSeq-85,Caudovirales,,
84,84,Azospirillum~phage~Cd,95,RefSeq-85,Caudovirales,Siphoviridae,
85,85,Bacillus~phage~0305phi8-36,246,RefSeq-85,Caudovirales,Myoviridae,
86,86,Bacillus~phage~AR9,291,RefSeq-85,,,
87,87,Bacillus~phage~Aurora,40,RefSeq-85,,,
88,88,Bacillus~phage~AvesoBmore,301,RefSeq-85,Caudovirales,Myoviridae,B4virus
89,89,Bacillus~phage~B4,277,RefSeq-85,Caudovirales,Myoviridae,B4virus
90,90,Bacillus~phage~BCD7,140,RefSeq-85,Caudovirales,Myoviridae,
91,91,Bacillus~phage~BCJA1c,58,RefSeq-85,Caudovirales,Siphoviridae,
92,92,Bacillus~phage~BCP78,227,RefSeq-85,Caudovirales,Myoviridae,Tsarbombavirus
93,93,Bacillus~phage~BCP8-2,220,RefSeq-85,Caudovirales,Myoviridae,Bc431virus
94,94,Bacillus~phage~BM5,224,RefSeq-85,Caudovirales,Myoviridae,
95,95,Bacillus~phage~BPS10C,271,RefSeq-85,Caudovirales,Myoviridae,
96,96,Bacillus~phage~BPS13,268,RefSeq-85,Caudovirales,Myoviridae,Wphvirus
97,97,Bacillus~phage~BalMu-1,56,RefSeq-85,,,
98,98,Bacillus~phage~Bam35c,32,RefSeq-85,,Tectiviridae,Betatectivirus
99,99,Bacillus~phage~Bastille,273,RefSeq-85,Caudovirales,Myoviridae,Bastillevirus
100,100,Bacillus~phage~Bcp1,229,RefSeq-85,Caudovirales,Myoviridae,Bc431virus
101,101,Bacillus~phage~Belinda,295,RefSeq-85,,,
102,102,Bacillus~phage~BigBertha,291,RefSeq-85,Caudovirales,Myoviridae,B4virus
103,103,Bacillus~phage~Bobb,247,RefSeq-85,Caudovirales,Myoviridae,Agatevirus
104,104,Bacillus~phage~Bp8p-C,211,RefSeq-85,Caudovirales,Myoviridae,Agatevirus
105,105,Bacillus~phage~BtCS33,57,RefSeq-85,Caudovirales,Siphoviridae,
106,106,Bacillus~phage~CAM003,287,RefSeq-85,Caudovirales,Myoviridae,Bastillevirus
107,107,Bacillus~phage~CP-51,221,RefSeq-85,Caudovirales,Myoviridae,Cp51virus
108,108,Bacillus~phage~CampHawk,233,RefSeq-85,Caudovirales,Myoviridae,Spo1virus
109,109,Bacillus~phage~Claudi,46,RefSeq-85,,,
110,110,Bacillus~phage~DIGNKC,291,RefSeq-85,,,
111,111,Bacillus~phage~Deep~Blue,226,RefSeq-85,Caudovirales,Myoviridae,Bc431virus
112,112,Bacillus~phage~DirtyBetty,302,RefSeq-85,,,
113,113,Bacillus~phage~Eldridge,238,RefSeq-85,,,
114,114,Bacillus~phage~Evoli,294,RefSeq-85,Caudovirales,Myoviridae,Bastillevirus
115,115,Bacillus~phage~Eyuki,300,RefSeq-85,Caudovirales,Myoviridae,Wphvirus
116,116,Bacillus~phage~Fah,50,RefSeq-85,Caudovirales,Siphoviridae,
117,117,Bacillus~phage~GIL16c,31,RefSeq-85,,Tectiviridae,Betatectivirus
118,118,Bacillus~phage~Gamma,53,RefSeq-85,Caudovirales,Siphoviridae,
119,119,Bacillus~phage~Grass,252,RefSeq-85,Caudovirales,Myoviridae,Nit1virus
120,120,Bacillus~phage~Hakuna,294,RefSeq-85,Caudovirales,Myoviridae,Wphvirus
121,121,Bacillus~phage~Hoody~T,270,RefSeq-85,Caudovirales,Myoviridae,Bastillevirus
122,122,Bacillus~phage~JBP901,201,RefSeq-85,Caudovirales,Myoviridae,Bc431virus
123,123,Bacillus~phage~JL,218,RefSeq-85,Caudovirales,Myoviridae,Cp51virus
124,124,Bacillus~phage~Kida,304,RefSeq-85,,,
125,125,Bacillus~phage~MG-B1,42,RefSeq-85,Caudovirales,Podoviridae,
126,126,Bacillus~phage~Mater,241,RefSeq-85,Caudovirales,Myoviridae,
127,127,Bacillus~phage~Megatron,290,RefSeq-85,Caudovirales,Myoviridae,Wphvirus
128,128,Bacillus~phage~Moonbeam,237,RefSeq-85,Caudovirales,Myoviridae,
129,129,Bacillus~phage~Nemo,301,RefSeq-85,,,
130,130,Bacillus~phage~Nigalana,302,RefSeq-85,,,
131,131,Bacillus~phage~NotTheCreek,296,RefSeq-85,,,
132,132,Bacillus~phage~PBC1,50,RefSeq-85,Caudovirales,Siphoviridae,
133,133,Bacillus~phage~PM1,86,RefSeq-85,Caudovirales,Siphoviridae,
134,134,Bacillus~phage~Page,50,RefSeq-85,Caudovirales,Podoviridae,Pagevirus
135,135,Bacillus~phage~Palmer,50,RefSeq-85,Caudovirales,Podoviridae,Pagevirus
136,136,Bacillus~phage~Pascal,50,RefSeq-85,Caudovirales,Podoviridae,Pagevirus
137,137,Bacillus~phage~Pavlov,50,RefSeq-85,Caudovirales,Podoviridae,
138,138,Bacillus~phage~PfEFR-5,68,RefSeq-85,,,
139,139,Bacillus~phage~Phrodo,288,RefSeq-85,,,
140,140,Bacillus~phage~Pony,48,RefSeq-85,Caudovirales,Podoviridae,Pagevirus
141,141,Bacillus~phage~Pookie,52,RefSeq-85,Caudovirales,Podoviridae,Pagevirus
142,142,Bacillus~phage~Riley,290,RefSeq-85,Caudovirales,Myoviridae,B4virus
143,143,Bacillus~phage~SP-10,236,RefSeq-85,Caudovirales,Myoviridae,
144,144,Bacillus~phage~SP-15,317,RefSeq-85,,,
145,145,Bacillus~phage~SPBc2,185,RefSeq-85,Caudovirales,Siphoviridae,Spbetavirus
146,146,Bacillus~phage~SPG24,34,RefSeq-85,Caudovirales,Myoviridae,Nit1virus
147,147,Bacillus~phage~SPP1,97,RefSeq-85,Caudovirales,Siphoviridae,
148,148,Bacillus~phage~SageFayge,300,RefSeq-85,,,
149,149,Bacillus~phage~SalinJah,292,RefSeq-85,,,
150,150,Bacillus~phage~Shanette,220,RefSeq-85,Caudovirales,Myoviridae,Cp51virus
151,151,Bacillus~phage~Shbh1,177,RefSeq-85,,,
152,152,Bacillus~phage~Slash,111,RefSeq-85,Caudovirales,Siphoviridae,Slashvirus
153,153,Bacillus~phage~Spock,283,RefSeq-85,Caudovirales,Myoviridae,B4virus
154,154,Bacillus~phage~Stahl,110,RefSeq-85,Caudovirales,Siphoviridae,Slashvirus
155,155,Bacillus~phage~Staley,113,RefSeq-85,Caudovirales,Siphoviridae,Slashvirus
156,156,Bacillus~phage~Stills,110,RefSeq-85,Caudovirales,Siphoviridae,Slashvirus
157,157,Bacillus~phage~Stitch,36,RefSeq-85,,,
158,158,Bacillus~phage~TP21-L,56,RefSeq-85,Caudovirales,Siphoviridae,Tp21virus
159,159,Bacillus~phage~Troll,289,RefSeq-85,Caudovirales,Myoviridae,B4virus
160,160,Bacillus~phage~TsarBomba,247,RefSeq-85,Caudovirales,Myoviridae,Tsarbombavirus
161,161,Bacillus~phage~VMY22,25,RefSeq-85,Caudovirales,Podoviridae,
162,162,Bacillus~phage~W.Ph.,274,RefSeq-85,Caudovirales,Myoviridae,Wphvirus
163,163,Bacillus~phage~Waukesha92,72,RefSeq-85,Caudovirales,Siphoviridae,
164,164,Bacillus~phage~Wip1,27,RefSeq-85,,Tectiviridae,Betatectivirus
165,165,Bacillus~phage~Zuko,294,RefSeq-85,,,
166,166,Bacillus~phage~phBC6A51,75,RefSeq-85,Caudovirales,Podoviridae,
167,167,Bacillus~phage~phBC6A52,49,RefSeq-85,Caudovirales,Podoviridae,
168,168,Bacillus~phage~phIS3501,51,RefSeq-85,Caudovirales,Siphoviridae,
169,169,Bacillus~phage~phi105,51,RefSeq-85,Caudovirales,Siphoviridae,
170,170,Bacillus~phage~phi4B1,56,RefSeq-85,Caudovirales,Siphoviridae,
171,171,Bacillus~phage~phi4J1,67,RefSeq-85,Caudovirales,Siphoviridae,
172,172,Bacillus~phage~phiAGATE,210,RefSeq-85,Caudovirales,Myoviridae,Agatevirus
173,173,Bacillus~phage~phiCM3,56,RefSeq-85,Caudovirales,Siphoviridae,
174,174,Bacillus~phage~phiNIT1,219,RefSeq-85,Caudovirales,Myoviridae,Nit1virus
