,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
0,Achromobacter~phage~83-24,Caudovirales,Siphoviridae,Jwxvirus,167_0,Clustered,2,VC_167_0,2,0.1825,0.9528121,0.1738,1,1,1,1.0
1,Achromobacter~phage~JWAlpha,Caudovirales,Podoviridae,Jwalphavirus,100_1,Clustered,10,VC_100_1,10,0.4134,1.0,0.4134,3,1,1,1.0
2,Achromobacter~phage~JWF,Caudovirales,Siphoviridae,Unassigned,412_0,Clustered,2,VC_412_0,2,0.6056,0.91237788,0.5525,1,2,2,1.0
3,Achromobacter~phage~JWX,Caudovirales,Siphoviridae,Jwxvirus,167_0,Clustered,2,VC_167_0,2,0.1825,0.9528121,0.1738,1,1,1,1.0
4,Achromobacter~phage~phiAxp-3,Caudovirales,Podoviridae,Jwalphavirus,100_1,Clustered,10,VC_100_1,10,0.4134,1.0,0.4134,3,1,1,1.0
5,Acidianus~bottle-shaped~virus,Unassigned,Ampullaviridae,Ampullavirus,669_0,Clustered,3,VC_669_0,3,1.0,1.0,1.0,2,1,1,1.0
6,Acidianus~bottle-shaped~virus~2,Unassigned,Ampullaviridae,Unassigned,669_0,Clustered,3,VC_669_0,3,1.0,1.0,1.0,2,1,1,1.0
7,Acidianus~bottle-shaped~virus~3,Unassigned,Ampullaviridae,Unassigned,669_0,Clustered,3,VC_669_0,3,1.0,1.0,1.0,2,1,1,1.0
8,Acidianus~filamentous~virus~3,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,442_0,Clustered,6,VC_442_0,6,0.9519,0.99998206,0.9518,1,1,1,1.0
9,Acidianus~filamentous~virus~6,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,442_0,Clustered,6,VC_442_0,6,0.9519,0.99998206,0.9518,1,1,1,1.0
10,Acidianus~filamentous~virus~7,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,442_0,Clustered,6,VC_442_0,6,0.9519,0.99998206,0.9518,1,1,1,1.0
11,Acidianus~filamentous~virus~8,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,442_0,Clustered,6,VC_442_0,6,0.9519,0.99998206,0.9518,1,1,1,1.0
12,Acidianus~filamentous~virus~9,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,442_0,Clustered,6,VC_442_0,6,0.9519,0.99998206,0.9518,1,1,1,1.0
13,Acidianus~spindle-shaped~virus~1,Unassigned,Fuselloviridae,Betafusellovirus,413_0,Clustered,9,VC_413_0,9,0.9081,0.99999774,0.9081,2,1,1,1.0
